player_id,player_name,order,team,opp_pitcher,matchup,weather,blended_iso,drought_games,core_hr_prob,hazard_mult,synergy_prob,synergy_score,target_call,rank
700652,Kenny Piper,7,Tampa Bay Rays,Framber Valdez (LHP),R vs L,[🔥 AIR SURGE 65° 14MPH],0.375,2,32.5,1.55,50.2,99.0,🔥 POWER TARGET: Matchup Driven,1
694673,Abimelec Ortiz,1,Washington Nationals,Ryan Feltner (RHP),L vs R,[NEUTRAL 74° 5MPH],0.255,6,21.2,1.6,33.9,67.8,⚾ Standard Rotation,2
814430,Brett Callahan,2,Detroit Tigers,Drew Rasmussen (RHP),L vs R,[🔥 AIR SURGE 65° 14MPH],0.242,4,21.0,1.6,33.6,67.2,⚾ Standard Rotation,3
680664,Eduardo Valencia,6,Detroit Tigers,Drew Rasmussen (RHP),R vs R,[🔥 AIR SURGE 65° 14MPH],0.241,5,19.1,1.6,30.6,61.1,⚾ Standard Rotation,4
687605,Andrew Pinckney,3,Washington Nationals,Ryan Feltner (RHP),R vs R,[NEUTRAL 74° 5MPH],0.244,8,18.6,1.6,29.7,59.4,⚾ Standard Rotation,5
592626,Joc Pederson,9,Texas Rangers,TBD Pitcher (RHP),L vs R,[DOME / CONTROLLED],0.206,11,17.3,1.6,27.6,55.3,⚡ DUE DATE WATCH: Hazard Surge,6
691406,Junior Caminero,6,Tampa Bay Rays,Framber Valdez (LHP),R vs L,[🔥 AIR SURGE 65° 14MPH],0.169,11,15.7,1.6,25.2,50.4,⚡ DUE DATE WATCH: Hazard Surge,7
665052,Griffin Conine,5,Miami Marlins,Ranger Suarez (LHP),L vs L,[DOME / CONTROLLED],0.262,4,18.4,1.26,23.2,46.3,⚾ Standard Rotation,8
682998,Corbin Carroll,1,Arizona Diamondbacks,Kevin Gausman (RHP),L vs R,[DOME / CONTROLLED],0.169,9,14.4,1.59,22.9,45.9,⚾ Standard Rotation,9
682928,CJ Abrams,5,Washington Nationals,Ryan Feltner (RHP),L vs R,[NEUTRAL 74° 5MPH],0.14,7,12.1,1.52,18.3,36.6,⚾ Standard Rotation,10
665953,Andrés Chaparro,2,Washington Nationals,Ryan Feltner (RHP),R vs R,[NEUTRAL 74° 5MPH],0.201,3,15.5,1.16,18.1,36.1,⚾ Standard Rotation,11
678246,Miguel Vargas,9,Chicago White Sox,Kumar Rocker (RHP),R vs R,[DOME / CONTROLLED],0.269,2,20.2,0.87,17.6,35.1,⚾ Standard Rotation,12
693307,Dillon Dingler,5,Detroit Tigers,Drew Rasmussen (RHP),R vs R,[🔥 AIR SURGE 65° 14MPH],0.131,14,10.8,1.6,17.2,34.5,⚾ Standard Rotation,13
621439,Byron Buxton,4,Minnesota Twins,Jeffrey Springs (LHP),R vs L,[DOME / CONTROLLED],0.117,23,10.6,1.6,16.9,33.9,⚾ Standard Rotation,14
678489,Jorge Barrosa,7,Arizona Diamondbacks,Kevin Gausman (RHP),S vs R,[DOME / CONTROLLED],0.144,40,11.3,1.49,16.8,33.5,⚾ Standard Rotation,15
