player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,iso,slg,sp_hr9_split,clash_badge,prob,score,target_call,rank,wb_score,wb_rank,synergy_score,synergy_call
571970,Max Muncy,8,Los Angeles Dodgers,Jared Jones,R,L,0.252,0.504,1.42,ELEVATED POWER EDGE,0.2703,82.3,👑 APEX: Home Run Lock,24,20.0,179,52.4,⚡ PURE MATCHUP EDGE
693307,Dillon Dingler,5,Detroit Tigers,Michael Wacha,R,R,0.233,0.485,1.77,ELEVATED POWER EDGE,0.2698,82.1,👑 APEX: Home Run Lock,25,20.0,149,52.3,⚡ PURE MATCHUP EDGE
681715,Heriberto Hernández,6,Miami Marlins,Jake Irvin,R,R,0.217,0.443,1.8,ABOVE-AVG MATCHUP,0.2695,82.1,👑 APEX: Home Run Lock,26,20.0,51,52.3,⚡ PURE MATCHUP EDGE
572233,Christian Walker,3,Houston Astros,Jacob Lopez,L,R,0.209,0.442,1.85,ABOVE-AVG MATCHUP,0.2672,81.5,👑 APEX: Home Run Lock,27,20.0,120,52.0,⚡ PURE MATCHUP EDGE
808982,Jung Hoo Lee,8,San Francisco Giants,Patrick Sandoval,L,L,0.139,0.43,3.0,ABOVE-AVG MATCHUP,0.2652,80.9,👑 APEX: Home Run Lock,28,20.0,206,51.7,⚡ PURE MATCHUP EDGE
687551,Drew Gilbert,6,San Francisco Giants,Patrick Sandoval,L,L,0.137,0.378,3.0,ABOVE-AVG MATCHUP,0.2619,80.0,👑 APEX: Home Run Lock,29,20.0,204,51.2,⚡ PURE MATCHUP EDGE
607043,Brandon Nimmo,1,Texas Rangers,Ryan Johnson,R,L,0.16,0.426,2.34,ABOVE-AVG MATCHUP,0.2599,79.4,👑 APEX: Home Run Lock,30,20.0,100,50.9,⚡ PURE MATCHUP EDGE
665923,Esteury Ruiz,9,Miami Marlins,Jake Irvin,R,R,0.2,0.453,1.8,ABOVE-AVG MATCHUP,0.2513,76.7,👑 APEX: Home Run Lock,31,20.0,54,49.5,⚡ PURE MATCHUP EDGE
596019,Francisco Lindor,9,New York Mets,Luis Castillo,R,S,0.184,0.42,1.94,ABOVE-AVG MATCHUP,0.2495,76.2,🔥 TARGET: Home Run Play,32,20.0,135,49.2,⚡ PURE MATCHUP EDGE
665487,Fernando Tatis Jr.,2,San Diego Padres,Dean Kremer,R,R,0.154,0.438,2.53,ABOVE-AVG MATCHUP,0.2426,73.8,🔥 TARGET: Home Run Play,33,20.0,263,48.0,⚡ PURE MATCHUP EDGE
