player_id,player_name,order,team,opp_pitcher,matchup,weather,season_iso,l15_iso,blended_iso,hr_prob,score,target_call,rank
695491,Joshua Báez,5,St. Louis Cardinals,Andrew Painter,R vs RHP,☁️ 1.00x,0.428,0.434,0.431,34.9,69.8,🔥 HR TARGET: Strong Power Split,1
691728,Zac Veen,9,Colorado Rockies,Tanner Bibee,L vs RHP,☁️ 1.00x,0.369,0.333,0.349,33.0,65.9,🔥 HR TARGET: Strong Power Split,2
804668,Rafael Flores Jr.,5,Pittsburgh Pirates,Tarik Skubal,R vs LHP,☁️ 1.00x,0.385,0.379,0.382,31.5,63.0,🔥 HR TARGET: Strong Power Split,3
814430,Brett Callahan,6,Detroit Tigers,Michael Wacha,L vs RHP,☁️ 1.00x,0.384,0.376,0.38,25.9,51.7,⚾ Standard Power Spot,4
666160,Mickey Moniak,2,Colorado Rockies,Tanner Bibee,L vs RHP,☁️ 1.00x,0.27,0.259,0.264,25.7,51.3,⚾ Standard Power Spot,5
808959,Munetaka Murakami,2,Chicago White Sox,Christian Scott,L vs RHP,☁️ 1.00x,0.301,0.295,0.298,24.2,48.5,⚾ Standard Power Spot,6
699013,Esmerlyn Valdez,2,Pittsburgh Pirates,Tarik Skubal,R vs LHP,☁️ 1.00x,0.286,0.279,0.282,24.1,48.2,⚾ Standard Power Spot,7
663993,Nathaniel Lowe,9,Cleveland Guardians,Gabriel Hughes,L vs RHP,☁️ 1.00x,0.222,0.244,0.234,23.0,46.0,⚾ Standard Power Spot,8
656941,Kyle Schwarber,1,Philadelphia Phillies,Quinn Mathews,L vs LHP,☁️ 1.00x,0.28,0.295,0.288,22.8,45.7,⚾ Standard Power Spot,9
650559,Bryan De La Cruz,7,Philadelphia Phillies,Quinn Mathews,R vs LHP,☁️ 1.00x,0.226,0.23,0.228,22.6,45.3,⚾ Standard Power Spot,10
571970,Max Muncy,4,Los Angeles Dodgers,Jared Jones,L vs RHP,☁️ 1.00x,0.252,0.275,0.265,21.8,43.6,⚾ Standard Power Spot,11
666176,Jo Adell,7,Cleveland Guardians,Gabriel Hughes,R vs RHP,☁️ 1.00x,0.246,0.242,0.244,21.8,43.6,⚾ Standard Power Spot,12
660271,Shohei Ohtani,1,Los Angeles Dodgers,Jared Jones,L vs RHP,☁️ 1.00x,0.261,0.265,0.263,21.7,43.4,⚾ Standard Power Spot,13
687952,Christian Encarnacion-Strand,6,Baltimore Orioles,Shane McClanahan,R vs LHP,☁️ 1.00x,0.247,0.251,0.249,21.5,43.1,⚾ Standard Power Spot,14
664954,Brett Sullivan,8,Colorado Rockies,Tanner Bibee,L vs RHP,☁️ 1.00x,0.202,0.211,0.207,20.5,41.0,⚾ Standard Power Spot,15
691406,Junior Caminero,4,Tampa Bay Rays,Brandon Young,R vs RHP,☁️ 1.00x,0.26,0.284,0.273,20.5,41.0,⚾ Standard Power Spot,16
676475,Alec Burleson,3,St. Louis Cardinals,Andrew Painter,L vs RHP,☁️ 1.00x,0.2,0.219,0.21,20.1,40.3,⚾ Standard Power Spot,17
670541,Yordan Alvarez,2,Houston Astros,Jacob Lopez,L vs LHP,☁️ 1.00x,0.297,0.28,0.288,20.0,40.0,⚾ Standard Power Spot,18
691723,Coby Mayo,3,Baltimore Orioles,Shane McClanahan,R vs LHP,☁️ 1.00x,0.226,0.232,0.229,20.0,39.9,⚾ Standard Power Spot,19
