player_id,player_name,order,team,opp_pitcher,matchup,weather,season_iso,l15_iso,blended_iso,hr_prob,score,target_call,rank
641355,Cody Bellinger,4,New York Yankees,José Soriano,L vs RHP,[NEUTRAL 76° 8MPH],0.161,0.0,0.072,6.8,13.5,⚾ Standard Power Spot,184
602104,Ramón Urías,8,St. Louis Cardinals,Cristopher Sánchez,R vs LHP,[NEUTRAL 75° 8MPH],0.158,0.0,0.071,6.7,13.5,⚾ Standard Power Spot,185
668930,Brice Turang,2,Milwaukee Brewers,Tyler Mahle,L vs RHP,[DOME / CONTROLLED],0.174,0.0,0.078,6.7,13.5,⚾ Standard Power Spot,186
650402,Gleyber Torres,1,Detroit Tigers,Daniel Lynch IV,R vs LHP,[NEUTRAL 81° 5MPH],0.125,0.048,0.083,6.6,13.3,⚾ Standard Power Spot,187
665489,Vladimir Guerrero Jr.,2,Toronto Blue Jays,Carlos Rodón,R vs LHP,[NEUTRAL 76° 8MPH],0.092,0.05,0.069,6.7,13.3,⚾ Standard Power Spot,188
677649,Ezequiel Duran,7,Texas Rangers,Yusei Kikuchi,R vs LHP,[DOME / CONTROLLED],0.169,0.0,0.076,6.6,13.3,⚾ Standard Power Spot,189
679529,Spencer Torkelson,5,Detroit Tigers,Daniel Lynch IV,R vs LHP,[NEUTRAL 81° 5MPH],0.185,0.0,0.083,6.7,13.3,⚾ Standard Power Spot,190
543807,George Springer,4,Toronto Blue Jays,Carlos Rodón,R vs LHP,[NEUTRAL 76° 8MPH],0.15,0.0,0.068,6.5,13.1,⚾ Standard Power Spot,191
663457,Lars Nootbaar,9,Arizona Diamondbacks,Andrew Abbott,L vs LHP,[DOME / CONTROLLED],0.12,0.059,0.086,6.4,12.9,⚾ Standard Power Spot,192
642201,Eli White,8,Boston Red Sox,Matt Wilkinson,R vs LHP,[NEUTRAL 72°],0.173,0.0,0.078,6.4,12.8,⚾ Standard Power Spot,193
702284,Cole Young,4,Seattle Mariners,Shota Imanaga,L vs LHP,[NEUTRAL 72°],0.139,0.054,0.092,6.2,12.3,⚾ Standard Power Spot,194
666023,Freddy Fermin,3,San Diego Padres,Bailey Ober,R vs RHP,[NEUTRAL 80° 2MPH],0.112,0.065,0.086,6.2,12.3,⚾ Standard Power Spot,195
808982,Jung Hoo Lee,6,San Francisco Giants,Jake Bennett,L vs LHP,[NEUTRAL 72°],0.138,0.049,0.089,6.1,12.2,⚾ Standard Power Spot,196
