player_id,player_name,order,team,opp_pitcher,matchup,weather,season_iso,l15_iso,blended_iso,hr_prob,score,target_call,rank
700652,Kenny Piper,7,Tampa Bay Rays,Framber Valdez,R vs LHP,[🔥 AIR SURGE 65° 14MPH],0.375,0.375,0.375,32.5,65.0,🔥 HR TARGET: Strong Power Split,1
694673,Abimelec Ortiz,1,Washington Nationals,Ryan Feltner,L vs RHP,[NEUTRAL 74° 5MPH],0.274,0.24,0.255,21.2,42.4,⚾ Standard Power Spot,2
814430,Brett Callahan,2,Detroit Tigers,Drew Rasmussen,L vs RHP,[🔥 AIR SURGE 65° 14MPH],0.333,0.167,0.242,21.0,42.0,⚾ Standard Power Spot,3
661531,Brian Serven,2,Athletics,Zebby Matthews,R vs RHP,[DOME / CONTROLLED],0.279,0.279,0.279,20.9,41.8,⚾ Standard Power Spot,4
608324,Alex Bregman,1,Chicago Cubs,Merrill Kelly,R vs RHP,[DOME / CONTROLLED],0.164,0.356,0.27,20.2,40.5,⚾ Standard Power Spot,5
678246,Miguel Vargas,9,Chicago White Sox,Kumar Rocker,R vs RHP,[DOME / CONTROLLED],0.252,0.283,0.269,20.2,40.4,⚾ Standard Power Spot,6
665487,Fernando Tatis Jr.,2,San Diego Padres,Braxton Ashcraft,R vs RHP,[NEUTRAL 72° 3MPH],0.163,0.429,0.309,20.1,40.3,⚾ Standard Power Spot,7
701162,Ben Malgeri,1,Detroit Tigers,Drew Rasmussen,R vs RHP,[🔥 AIR SURGE 65° 14MPH],0.172,0.31,0.248,19.7,39.3,⚾ Standard Power Spot,8
680664,Eduardo Valencia,6,Detroit Tigers,Drew Rasmussen,R vs RHP,[🔥 AIR SURGE 65° 14MPH],0.364,0.14,0.241,19.1,38.2,⚾ Standard Power Spot,9
666176,Jo Adell,7,Cleveland Guardians,George Klassen,R vs RHP,[NEUTRAL 72°],0.274,0.226,0.248,18.8,37.5,⚾ Standard Power Spot,10
687605,Andrew Pinckney,3,Washington Nationals,Ryan Feltner,R vs RHP,[NEUTRAL 74° 5MPH],0.313,0.188,0.244,18.6,37.1,⚾ Standard Power Spot,11
665052,Griffin Conine,5,Miami Marlins,Ranger Suarez,L vs LHP,[DOME / CONTROLLED],0.263,0.261,0.262,18.4,36.7,⚾ Standard Power Spot,12
592626,Joc Pederson,9,Texas Rangers,TBD Pitcher,L vs RHP,[DOME / CONTROLLED],0.241,0.176,0.206,17.3,34.6,⚾ Standard Power Spot,13
664954,Brett Sullivan,2,Colorado Rockies,Cade Cavalli,L vs RHP,[NEUTRAL 74° 5MPH],0.199,0.209,0.205,17.3,34.6,⚾ Standard Power Spot,14
681715,Heriberto Hernández,6,Miami Marlins,Ranger Suarez,R vs LHP,[DOME / CONTROLLED],0.226,0.167,0.193,17.0,34.1,⚾ Standard Power Spot,15
664023,Ian Happ,4,Chicago Cubs,Merrill Kelly,S vs RHP,[DOME / CONTROLLED],0.202,0.235,0.22,16.8,33.7,⚾ Standard Power Spot,16
701538,Jackson Merrill,5,San Diego Padres,Braxton Ashcraft,L vs RHP,[NEUTRAL 72° 3MPH],0.176,0.268,0.227,16.6,33.2,⚾ Standard Power Spot,17
666160,Mickey Moniak,8,Colorado Rockies,Cade Cavalli,L vs RHP,[NEUTRAL 74° 5MPH],0.273,0.115,0.186,15.8,31.7,⚾ Standard Power Spot,18
691406,Junior Caminero,6,Tampa Bay Rays,Framber Valdez,R vs LHP,[🔥 AIR SURGE 65° 14MPH],0.256,0.098,0.169,15.7,31.5,⚾ Standard Power Spot,19
624424,Michael Conforto,7,Chicago Cubs,Merrill Kelly,L vs RHP,[DOME / CONTROLLED],0.225,0.154,0.186,15.7,31.5,⚾ Standard Power Spot,20
665953,Andrés Chaparro,2,Washington Nationals,Ryan Feltner,R vs RHP,[NEUTRAL 74° 5MPH],0.272,0.143,0.201,15.5,31.0,⚾ Standard Power Spot,21
671732,Lawrence Butler,9,Athletics,Zebby Matthews,L vs RHP,[DOME / CONTROLLED],0.138,0.218,0.182,15.4,30.9,⚾ Standard Power Spot,22
608369,Corey Seager,3,Texas Rangers,TBD Pitcher,L vs RHP,[DOME / CONTROLLED],0.189,0.164,0.175,14.9,29.7,⚾ Standard Power Spot,23
682998,Corbin Carroll,1,Arizona Diamondbacks,Kevin Gausman,L vs RHP,[DOME / CONTROLLED],0.24,0.111,0.169,14.4,28.8,⚾ Standard Power Spot,24
686797,Brooks Lee,3,Minnesota Twins,Jeffrey Springs,S vs LHP,[DOME / CONTROLLED],0.187,0.211,0.2,14.3,28.6,⚾ Standard Power Spot,25
657757,Gavin Sheets,4,San Diego Padres,Braxton Ashcraft,L vs RHP,[NEUTRAL 72° 3MPH],0.182,0.194,0.188,14.0,28.0,⚾ Standard Power Spot,26
657136,Connor Wong,6,Boston Red Sox,Sandy Alcantara,R vs RHP,[DOME / CONTROLLED],0.135,0.209,0.176,13.6,27.3,⚾ Standard Power Spot,27
667452,Corey Julks,4,Detroit Tigers,Drew Rasmussen,R vs RHP,[🔥 AIR SURGE 65° 14MPH],0.167,0.167,0.167,13.6,27.2,⚾ Standard Power Spot,28
664040,Brandon Lowe,2,Pittsburgh Pirates,Robbie Ray,L vs LHP,[NEUTRAL 72° 3MPH],0.225,0.207,0.215,13.5,26.9,⚾ Standard Power Spot,29
547180,Bryce Harper,4,Philadelphia Phillies,Logan Gilbert,L vs RHP,[NEUTRAL 72°],0.238,0.12,0.173,13.2,26.5,⚾ Standard Power Spot,30
695657,Colson Montgomery,5,Chicago White Sox,Kumar Rocker,L vs RHP,[DOME / CONTROLLED],0.217,0.103,0.155,13.2,26.4,⚾ Standard Power Spot,31
701785,Kaelen Culpepper,6,Minnesota Twins,Jeffrey Springs,R vs LHP,[DOME / CONTROLLED],0.155,0.133,0.143,12.8,25.6,⚾ Standard Power Spot,32
622761,Jorge Mateo,5,Tampa Bay Rays,Framber Valdez,R vs LHP,[🔥 AIR SURGE 65° 14MPH],0.14,0.13,0.135,12.7,25.4,⚾ Standard Power Spot,33
663993,Nathaniel Lowe,9,Cleveland Guardians,George Klassen,L vs RHP,[NEUTRAL 72°],0.185,0.111,0.144,12.4,24.8,⚾ Standard Power Spot,34
668800,Andrew Knizner,1,San Francisco Giants,Chase Burns,R vs RHP,[NEUTRAL 59° 5MPH],0.2,0.2,0.2,12.3,24.6,⚾ Standard Power Spot,35
664983,Jake McCarthy,6,Colorado Rockies,Cade Cavalli,L vs RHP,[NEUTRAL 74° 5MPH],0.19,0.1,0.141,12.1,24.3,⚾ Standard Power Spot,36
691594,Javier Sanoja,8,Miami Marlins,Ranger Suarez,R vs LHP,[DOME / CONTROLLED],0.145,0.128,0.135,12.2,24.3,⚾ Standard Power Spot,37
682928,CJ Abrams,5,Washington Nationals,Ryan Feltner,L vs RHP,[NEUTRAL 74° 5MPH],0.251,0.048,0.14,12.1,24.1,⚾ Standard Power Spot,38
642350,Jose Siri,5,Los Angeles Angels,Parker Messick,R vs LHP,[NEUTRAL 72°],0.19,0.086,0.133,11.9,23.9,⚾ Standard Power Spot,39
691011,Drew Romo,6,Chicago White Sox,Kumar Rocker,S vs RHP,[DOME / CONTROLLED],0.162,0.143,0.151,11.8,23.7,⚾ Standard Power Spot,40
605137,Josh Bell,5,Minnesota Twins,Jeffrey Springs,S vs LHP,[DOME / CONTROLLED],0.17,0.158,0.163,11.8,23.7,⚾ Standard Power Spot,41
805811,Bryce Eldridge,2,San Francisco Giants,Chase Burns,L vs RHP,[NEUTRAL 59° 5MPH],0.183,0.164,0.172,11.7,23.5,⚾ Standard Power Spot,42
665923,Esteury Ruiz,4,Miami Marlins,Ranger Suarez,R vs LHP,[DOME / CONTROLLED],0.192,0.079,0.13,11.7,23.4,⚾ Standard Power Spot,43
665019,Kody Clemens,7,Minnesota Twins,Jeffrey Springs,L vs LHP,[DOME / CONTROLLED],0.228,0.107,0.162,11.7,23.4,⚾ Standard Power Spot,44
669394,Jake Burger,8,Texas Rangers,TBD Pitcher,R vs RHP,[DOME / CONTROLLED],0.18,0.122,0.148,11.6,23.2,⚾ Standard Power Spot,45
687551,Drew Gilbert,6,San Francisco Giants,Chase Burns,L vs RHP,[NEUTRAL 59° 5MPH],0.134,0.2,0.17,11.6,23.2,⚾ Standard Power Spot,46
680776,Jarren Duran,9,Boston Red Sox,Sandy Alcantara,L vs RHP,[DOME / CONTROLLED],0.155,0.115,0.133,11.5,23.0,⚾ Standard Power Spot,47
