player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_rate,projected_due,hazard_score,target_call,rank
699013,Esmerlyn Valdez,4,Pittsburgh Pirates,Robbie Ray (LHP),R vs L,0.282,24,6.8,37.5,⚡ DUE NOW (Aug 25),75.1,⚡ DUE DATE WATCH: Critical Hazard Spike,1
621439,Byron Buxton,4,Minnesota Twins,Jeffrey Springs (LHP),R vs L,0.26,23,7.4,32.7,⚡ DUE NOW (Aug 25),65.5,⚡ DUE DATE WATCH: Critical Hazard Spike,2
680664,Eduardo Valencia,6,Detroit Tigers,Drew Rasmussen (RHP),R vs R,0.364,5,5.3,26.8,🔥 PEAK WINDOW (Aug 25),53.7,🔥 ELEVATED HAZARD: Approaching Due Window,3
687605,Andrew Pinckney,3,Washington Nationals,Ryan Feltner (RHP),R vs R,0.313,7,6.1,25.1,⚡ DUE NOW (Aug 25),50.2,⚡ DUE DATE WATCH: Critical Hazard Spike,4
691406,Junior Caminero,6,Tampa Bay Rays,Framber Valdez (LHP),R vs L,0.256,11,7.5,23.0,⚡ DUE NOW (Aug 25),45.9,⚡ DUE DATE WATCH: Critical Hazard Spike,5
693307,Dillon Dingler,5,Detroit Tigers,Drew Rasmussen (RHP),R vs R,0.231,14,8.3,22.1,⚡ DUE NOW (Aug 25),44.1,⚡ DUE DATE WATCH: Critical Hazard Spike,6
814430,Brett Callahan,2,Detroit Tigers,Drew Rasmussen (RHP),L vs R,0.333,4,5.8,21.3,🔥 PEAK WINDOW (Aug 25),42.7,🔥 ELEVATED HAZARD: Approaching Due Window,7
694208,Moisés Ballesteros,8,Los Angeles Angels,Parker Messick (LHP),L vs L,0.154,47,12.5,21.1,⚡ DUE NOW (Aug 25),42.3,⚡ DUE DATE WATCH: Critical Hazard Spike,8
592626,Joc Pederson,9,Texas Rangers,TBD Pitcher (RHP),L vs R,0.241,10,8.0,20.2,⚡ DUE NOW (Aug 25),40.3,⚡ DUE DATE WATCH: Critical Hazard Spike,9
694673,Abimelec Ortiz,1,Washington Nationals,Ryan Feltner (RHP),L vs R,0.274,6,7.0,19.3,🔥 PEAK WINDOW (Aug 25),38.6,🔥 ELEVATED HAZARD: Approaching Due Window,10
682998,Corbin Carroll,1,Arizona Diamondbacks,Kevin Gausman (RHP),L vs R,0.24,9,8.0,19.1,⚡ DUE NOW (Aug 25),38.2,⚡ DUE DATE WATCH: Critical Hazard Spike,11
694249,Cole Carrigg,3,Colorado Rockies,Cade Cavalli (RHP),S vs R,0.182,21,10.5,18.7,⚡ DUE NOW (Aug 25),37.5,⚡ DUE DATE WATCH: Critical Hazard Spike,12
686527,Dominic Canzone,4,Seattle Mariners,Zack Wheeler (RHP),L vs R,0.226,10,8.5,18.4,⚡ DUE NOW (Aug 25),36.7,⚡ DUE DATE WATCH: Critical Hazard Spike,13
682928,CJ Abrams,5,Washington Nationals,Ryan Feltner (RHP),L vs R,0.251,7,7.6,18.2,🔥 PEAK WINDOW (Aug 25),36.4,🔥 ELEVATED HAZARD: Approaching Due Window,14
641680,Jonah Heim,8,Athletics,Zebby Matthews (RHP),S vs R,0.179,20,10.7,17.9,⚡ DUE NOW (Aug 25),35.8,⚡ DUE DATE WATCH: Critical Hazard Spike,15
668804,Bryan Reynolds,3,Pittsburgh Pirates,Robbie Ray (LHP),S vs L,0.165,24,11.6,17.3,⚡ DUE NOW (Aug 25),34.5,⚡ DUE DATE WATCH: Critical Hazard Spike,16
642201,Eli White,7,Boston Red Sox,Sandy Alcantara (RHP),R vs R,0.173,18,11.1,16.2,⚡ DUE NOW (Aug 25),32.5,⚡ DUE DATE WATCH: Critical Hazard Spike,17
655316,Andruw Monasterio,2,Boston Red Sox,Sandy Alcantara (RHP),R vs R,0.16,23,12.0,16.2,⚡ DUE NOW (Aug 25),32.4,⚡ DUE DATE WATCH: Critical Hazard Spike,18
553993,Eugenio Suárez,3,Cincinnati Reds,TBD Pitcher (RHP),R vs R,0.201,11,9.6,16.2,⚡ DUE NOW (Aug 25),32.3,⚡ DUE DATE WATCH: Critical Hazard Spike,19
