player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_rate,projected_due,hazard_score,target_call,rank
695257,Billy Cook,1,Pittsburgh Pirates,Blake Snell (LHP),R vs L,0.062,24,24.0,6.0,⚡ DUE NOW (Aug 24),12.1,⚡ DUE DATE WATCH: Critical Hazard Spike,209
647304,Josh Naylor,7,Seattle Mariners,Shota Imanaga (LHP),L vs L,0.102,11,18.8,6.0,⏳ Developing (Sep 01),12.1,⚾ Baseline Rotation,210
665487,Fernando Tatis Jr.,2,San Diego Padres,Bailey Ober (RHP),R vs R,0.153,3,12.5,6.1,⏳ Developing (Sep 04),12.1,⚾ Baseline Rotation,211
677951,Bobby Witt Jr.,1,Kansas City Royals,TBD Pitcher (RHP),R vs R,0.173,2,11.1,6.0,⏳ Developing (Sep 04),12.1,⚾ Baseline Rotation,212
666624,Christopher Morel,5,New York Mets,Sean Newcomb (LHP),R vs L,0.05,23,24.0,5.9,🔥 PEAK WINDOW (Aug 24),11.9,🔥 ELEVATED HAZARD: Approaching Due Window,213
806198,Cooper Pratt,4,Milwaukee Brewers,Tyler Mahle (RHP),R vs R,0.09,16,21.3,6.0,⏳ Developing (Aug 29),11.9,⚾ Baseline Rotation,214
686668,Brenton Doyle,3,Chicago White Sox,Nolan McLean (RHP),R vs R,0.112,7,17.1,5.7,⏳ Developing (Sep 05),11.3,⚾ Baseline Rotation,215
672386,Alejandro Kirk,1,Toronto Blue Jays,Carlos Rodón (LHP),R vs L,0.145,3,13.2,5.6,⏳ Developing (Sep 05),11.2,⚾ Baseline Rotation,216
694378,Jacob Gonzalez,6,Pittsburgh Pirates,Blake Snell (LHP),L vs L,0.116,6,16.6,5.5,⏳ Developing (Sep 05),11.1,⚾ Baseline Rotation,217
683146,Brett Baty,3,New York Mets,Sean Newcomb (LHP),L vs L,0.115,6,16.7,5.5,⏳ Developing (Sep 05),11.0,⚾ Baseline Rotation,218
691277,Deyvison De Los Santos,3,Miami Marlins,Jackson Kent (LHP),R vs L,0.143,3,13.4,5.5,⏳ Developing (Sep 05),11.0,⚾ Baseline Rotation,219
703520,Brett Bateman,4,Toronto Blue Jays,Carlos Rodón (LHP),L vs L,0.09,13,21.3,5.4,⏳ Developing (Sep 02),10.9,⚾ Baseline Rotation,220
592885,Christian Yelich,3,Milwaukee Brewers,Tyler Mahle (RHP),L vs R,0.141,3,13.6,5.4,⏳ Developing (Sep 05),10.8,⚾ Baseline Rotation,221
683090,Matthew Lugo,8,Kansas City Royals,TBD Pitcher (RHP),R vs R,0.16,2,12.0,5.4,⏳ Developing (Sep 05),10.8,⚾ Baseline Rotation,222
664023,Ian Happ,4,Chicago Cubs,Bryce Miller (RHP),S vs R,0.198,1,9.7,5.4,⏳ Developing (Sep 02),10.8,⚾ Baseline Rotation,223
656577,Alex Jackson,2,Minnesota Twins,Walker Buehler (RHP),R vs R,0.106,7,18.1,5.2,⏳ Developing (Sep 06),10.4,⚾ Baseline Rotation,224
691720,Kyle Karros,8,Colorado Rockies,Foster Griffin (LHP),R vs L,0.156,2,12.3,5.2,⏳ Developing (Sep 05),10.4,⚾ Baseline Rotation,225
680776,Jarren Duran,9,Boston Red Sox,Matt Wilkinson (LHP),L vs L,0.156,2,12.3,5.2,⏳ Developing (Sep 05),10.4,⚾ Baseline Rotation,226
671083,Buddy Kennedy,3,San Francisco Giants,Jake Bennett (LHP),R vs L,0.05,17,24.0,5.2,⏳ Developing (Sep 01),10.3,⚾ Baseline Rotation,227
