player_id,player_name,order,team,opp_pitcher,blended_ba,ld_rate,contact_rate,hit_prob,score,target_call,rank
672569,Gustavo Campero,4,Los Angeles Angels,Parker Messick,0.429,21.0,76.0,76.9,76.9,🎯 HIT LOCK: Elite Contact & Matchup,1
802415,Chandler Simpson,2,Tampa Bay Rays,Framber Valdez,0.338,21.0,76.0,67.0,67.0,🟢 CONTACT TARGET: High Floor,2
691277,Deyvison De Los Santos,3,Miami Marlins,Ranger Suarez,0.333,21.0,76.0,66.3,66.3,🟢 CONTACT TARGET: High Floor,3
667452,Corey Julks,4,Detroit Tigers,Drew Rasmussen,0.333,21.0,76.0,66.3,66.3,🟢 CONTACT TARGET: High Floor,4
650559,Bryan De La Cruz,3,Philadelphia Phillies,Logan Gilbert,0.332,21.0,76.0,66.1,66.1,🟢 CONTACT TARGET: High Floor,5
665487,Fernando Tatis Jr.,2,San Diego Padres,Braxton Ashcraft,0.324,21.0,76.0,65.2,65.2,🟢 CONTACT TARGET: High Floor,6
543510,James McCann,5,Arizona Diamondbacks,Kevin Gausman,0.323,21.0,76.0,65.0,65.0,🟢 CONTACT TARGET: High Floor,7
680664,Eduardo Valencia,6,Detroit Tigers,Drew Rasmussen,0.321,21.0,76.0,64.7,64.7,🟢 CONTACT TARGET: High Floor,8
701678,Hao-Yu Lee,8,Detroit Tigers,Drew Rasmussen,0.315,21.0,76.0,64.0,64.0,🟢 CONTACT TARGET: High Floor,9
672515,Gabriel Moreno,2,Arizona Diamondbacks,Kevin Gausman,0.315,21.0,76.0,64.0,64.0,🟢 CONTACT TARGET: High Floor,10
800050,Chase DeLauter,5,Cleveland Guardians,George Klassen,0.313,21.0,76.0,63.7,63.7,🟢 CONTACT TARGET: High Floor,11
664761,Alec Bohm,1,Philadelphia Phillies,Logan Gilbert,0.312,21.0,76.0,63.6,63.6,🟢 CONTACT TARGET: High Floor,12
656577,Alex Jackson,2,Minnesota Twins,Jeffrey Springs,0.31,21.0,76.0,63.4,63.4,🟢 CONTACT TARGET: High Floor,13
669134,Luis Campusano,8,San Diego Padres,Braxton Ashcraft,0.306,21.0,76.0,62.8,62.8,🟢 CONTACT TARGET: High Floor,14
691594,Javier Sanoja,8,Miami Marlins,Ranger Suarez,0.304,21.0,76.0,62.4,62.4,🟢 CONTACT TARGET: High Floor,15
807712,Luke Keaschall,8,Minnesota Twins,Jeffrey Springs,0.303,21.0,76.0,62.3,62.3,🟢 CONTACT TARGET: High Floor,16
693304,Nick Gonzales,9,Pittsburgh Pirates,Robbie Ray,0.3,21.0,76.0,61.9,61.9,⚾ Standard Hit Prob,17
664983,Jake McCarthy,6,Colorado Rockies,Cade Cavalli,0.296,21.0,76.0,61.5,61.5,⚾ Standard Hit Prob,18
678882,Ceddanne Rafaela,5,Boston Red Sox,Sandy Alcantara,0.295,21.0,76.0,61.2,61.2,⚾ Standard Hit Prob,19
691783,Jordan Lawlar,6,Arizona Diamondbacks,Kevin Gausman,0.294,21.0,76.0,61.1,61.1,⚾ Standard Hit Prob,20
703607,Henry Bolte,6,Athletics,Zebby Matthews,0.293,21.0,76.0,61.0,61.0,⚾ Standard Hit Prob,21
663330,Jahmai Jones,8,Boston Red Sox,Sandy Alcantara,0.291,21.0,76.0,60.7,60.7,⚾ Standard Hit Prob,22
640902,Jhonny Pereda,5,Seattle Mariners,Zack Wheeler,0.289,21.0,76.0,60.5,60.5,⚾ Standard Hit Prob,23
701785,Kaelen Culpepper,6,Minnesota Twins,Jeffrey Springs,0.289,21.0,76.0,60.4,60.4,⚾ Standard Hit Prob,24
643446,Jeff McNeil,7,Athletics,Zebby Matthews,0.288,21.0,76.0,60.3,60.3,⚾ Standard Hit Prob,25
683227,Cody Freeman,2,Texas Rangers,José Urquidy,0.286,21.0,76.0,60.0,60.0,⚾ Standard Hit Prob,26
647304,Josh Naylor,6,Seattle Mariners,Zack Wheeler,0.284,21.0,76.0,59.7,59.7,⚾ Standard Hit Prob,27
663968,Jake Mangum,7,Pittsburgh Pirates,Robbie Ray,0.284,21.0,76.0,59.7,59.7,⚾ Standard Hit Prob,28
682657,Angel Martínez,2,Cleveland Guardians,George Klassen,0.283,21.0,76.0,59.6,59.6,⚾ Standard Hit Prob,29
608324,Alex Bregman,1,Chicago Cubs,Merrill Kelly,0.282,21.0,76.0,59.5,59.5,⚾ Standard Hit Prob,30
689414,Liam Hicks,8,Tampa Bay Rays,Framber Valdez,0.281,21.0,76.0,59.2,59.2,⚾ Standard Hit Prob,31
682998,Corbin Carroll,1,Arizona Diamondbacks,Kevin Gausman,0.278,21.0,76.0,58.8,58.8,⚾ Standard Hit Prob,32
814430,Brett Callahan,2,Detroit Tigers,Drew Rasmussen,0.278,21.0,76.0,58.8,58.8,⚾ Standard Hit Prob,33
547180,Bryce Harper,4,Philadelphia Phillies,Logan Gilbert,0.276,21.0,76.0,58.5,58.5,⚾ Standard Hit Prob,34
678246,Miguel Vargas,9,Chicago White Sox,Kumar Rocker,0.275,21.0,76.0,58.4,58.4,⚾ Standard Hit Prob,35
676356,Jonny DeLuca,4,Tampa Bay Rays,Framber Valdez,0.275,21.0,76.0,58.4,58.4,⚾ Standard Hit Prob,36
696285,Jacob Young,9,Washington Nationals,Ryan Feltner,0.274,21.0,76.0,58.2,58.2,⚾ Standard Hit Prob,37
669016,Brandon Marsh,2,Philadelphia Phillies,Logan Gilbert,0.272,21.0,76.0,58.0,58.0,⚾ Standard Hit Prob,38
665052,Griffin Conine,5,Miami Marlins,Ranger Suarez,0.271,21.0,76.0,57.9,57.9,⚾ Standard Hit Prob,39
605137,Josh Bell,5,Minnesota Twins,Jeffrey Springs,0.27,21.0,76.0,57.7,57.7,⚾ Standard Hit Prob,40
624428,Adam Frazier,1,Los Angeles Angels,Parker Messick,0.27,21.0,76.0,57.6,57.6,⚾ Standard Hit Prob,41
694197,Angel Genao,1,Cleveland Guardians,George Klassen,0.269,21.0,76.0,57.5,57.5,⚾ Standard Hit Prob,42
686797,Brooks Lee,3,Minnesota Twins,Jeffrey Springs,0.267,21.0,76.0,57.3,57.3,⚾ Standard Hit Prob,43
663538,Nico Hoerner,9,Chicago Cubs,Merrill Kelly,0.266,21.0,76.0,57.1,57.1,⚾ Standard Hit Prob,44
699912,Jose Fernandez,8,Arizona Diamondbacks,Kevin Gausman,0.266,21.0,76.0,57.0,57.0,⚾ Standard Hit Prob,45
663743,Nick Fortes,9,Tampa Bay Rays,Framber Valdez,0.265,21.0,76.0,57.0,57.0,⚾ Standard Hit Prob,46
805367,Chase Meidroth,4,Chicago White Sox,Kumar Rocker,0.265,21.0,76.0,56.8,56.8,⚾ Standard Hit Prob,47
608348,Carson Kelly,2,Chicago Cubs,Merrill Kelly,0.264,21.0,76.0,56.8,56.8,⚾ Standard Hit Prob,48
642201,Eli White,7,Boston Red Sox,Sandy Alcantara,0.264,21.0,76.0,56.7,56.7,⚾ Standard Hit Prob,49
702332,Caleb Durbin,4,Boston Red Sox,Sandy Alcantara,0.264,21.0,76.0,56.7,56.7,⚾ Standard Hit Prob,50
686527,Dominic Canzone,4,Seattle Mariners,Zack Wheeler,0.26,21.0,76.0,56.2,56.2,⚾ Standard Hit Prob,51
666176,Jo Adell,7,Cleveland Guardians,George Klassen,0.26,21.0,76.0,56.2,56.2,⚾ Standard Hit Prob,52
666018,Jonathan Aranda,3,Tampa Bay Rays,Framber Valdez,0.26,21.0,76.0,56.1,56.1,⚾ Standard Hit Prob,53
702176,Alan Roden,1,Minnesota Twins,Jeffrey Springs,0.259,21.0,76.0,56.0,56.0,⚾ Standard Hit Prob,54
663993,Nathaniel Lowe,9,Cleveland Guardians,George Klassen,0.259,21.0,76.0,56.0,56.0,⚾ Standard Hit Prob,55
665953,Andrés Chaparro,2,Washington Nationals,Ryan Feltner,0.258,21.0,76.0,55.9,55.9,⚾ Standard Hit Prob,56
608369,Corey Seager,3,Texas Rangers,José Urquidy,0.258,21.0,76.0,55.8,55.8,⚾ Standard Hit Prob,57
682928,CJ Abrams,5,Washington Nationals,Ryan Feltner,0.258,21.0,76.0,55.8,55.8,⚾ Standard Hit Prob,58
622268,Donovan Walton,5,Athletics,Zebby Matthews,0.258,21.0,76.0,55.8,55.8,⚾ Standard Hit Prob,59
691406,Junior Caminero,6,Tampa Bay Rays,Framber Valdez,0.257,21.0,76.0,55.7,55.7,⚾ Standard Hit Prob,60
677649,Ezequiel Duran,7,Texas Rangers,José Urquidy,0.257,21.0,76.0,55.6,55.6,⚾ Standard Hit Prob,61
664040,Brandon Lowe,2,Pittsburgh Pirates,Robbie Ray,0.256,21.0,76.0,55.6,55.6,⚾ Standard Hit Prob,62
681082,Bryson Stott,5,Philadelphia Phillies,Logan Gilbert,0.255,21.0,76.0,55.4,55.4,⚾ Standard Hit Prob,63
682634,Kevin Alcántara,5,Chicago Cubs,Merrill Kelly,0.255,21.0,76.0,55.4,55.4,⚾ Standard Hit Prob,64
666126,Carlos Cortes,3,Athletics,Zebby Matthews,0.254,21.0,76.0,55.2,55.2,⚾ Standard Hit Prob,65
675961,Alika Williams,1,Athletics,Zebby Matthews,0.254,21.0,76.0,55.1,55.1,⚾ Standard Hit Prob,66
595978,Austin Hedges,3,Cleveland Guardians,George Klassen,0.253,21.0,76.0,55.0,55.0,⚾ Standard Hit Prob,67
682663,Agustín Ramírez,1,Miami Marlins,Ranger Suarez,0.252,21.0,76.0,54.9,54.9,⚾ Standard Hit Prob,68
650402,Gleyber Torres,7,Detroit Tigers,Drew Rasmussen,0.252,21.0,76.0,54.8,54.8,⚾ Standard Hit Prob,69
664954,Brett Sullivan,2,Colorado Rockies,Cade Cavalli,0.251,21.0,76.0,54.8,54.8,⚾ Standard Hit Prob,70
672695,Geraldo Perdomo,3,Arizona Diamondbacks,Kevin Gausman,0.251,21.0,76.0,54.7,54.7,⚾ Standard Hit Prob,71
801126,Brock Rodden,1,Seattle Mariners,Zack Wheeler,0.25,21.0,76.0,54.6,54.6,⚾ Standard Hit Prob,72
700652,Kenny Piper,7,Tampa Bay Rays,Framber Valdez,0.25,21.0,76.0,54.6,54.6,⚾ Standard Hit Prob,73
687605,Andrew Pinckney,3,Washington Nationals,Ryan Feltner,0.25,21.0,76.0,54.6,54.6,⚾ Standard Hit Prob,74
669720,Austin Hays,1,San Diego Padres,Braxton Ashcraft,0.249,21.0,76.0,54.4,54.4,⚾ Standard Hit Prob,75
683737,Michael Busch,6,Chicago Cubs,Merrill Kelly,0.248,21.0,76.0,54.3,54.3,⚾ Standard Hit Prob,76
671732,Lawrence Butler,9,Athletics,Zebby Matthews,0.248,21.0,76.0,54.3,54.3,⚾ Standard Hit Prob,77
668804,Bryan Reynolds,3,Pittsburgh Pirates,Robbie Ray,0.248,21.0,76.0,54.2,54.2,⚾ Standard Hit Prob,78
657136,Connor Wong,6,Boston Red Sox,Sandy Alcantara,0.247,21.0,76.0,54.1,54.1,⚾ Standard Hit Prob,79
805300,Jakob Marsee,7,Miami Marlins,Ranger Suarez,0.247,21.0,76.0,54.0,54.0,⚾ Standard Hit Prob,80
808982,Jung Hoo Lee,8,San Francisco Giants,Chase Burns,0.247,21.0,76.0,54.0,54.0,⚾ Standard Hit Prob,81
650859,Luis Rengifo,9,San Diego Padres,Braxton Ashcraft,0.247,21.0,76.0,54.0,54.0,⚾ Standard Hit Prob,82
690993,Colt Keith,3,Detroit Tigers,Drew Rasmussen,0.246,21.0,76.0,53.9,53.9,⚾ Standard Hit Prob,83
805811,Bryce Eldridge,2,San Francisco Giants,Chase Burns,0.246,21.0,76.0,53.9,53.9,⚾ Standard Hit Prob,84
642350,Jose Siri,5,Los Angeles Angels,Parker Messick,0.246,21.0,76.0,53.9,53.9,⚾ Standard Hit Prob,85
667472,Dane Myers,1,Cincinnati Reds,TBD Pitcher,0.245,21.0,76.0,53.8,53.8,⚾ Standard Hit Prob,86
695734,Daylen Lile,6,Washington Nationals,Ryan Feltner,0.244,21.0,76.0,53.5,53.5,⚾ Standard Hit Prob,87
665019,Kody Clemens,7,Minnesota Twins,Jeffrey Springs,0.243,21.0,76.0,53.4,53.4,⚾ Standard Hit Prob,88
643217,Andrew Benintendi,1,Chicago White Sox,Kumar Rocker,0.243,21.0,76.0,53.4,53.4,⚾ Standard Hit Prob,89
694249,Cole Carrigg,3,Colorado Rockies,Cade Cavalli,0.242,21.0,76.0,53.3,53.3,⚾ Standard Hit Prob,90
691781,Brady House,4,Washington Nationals,Ryan Feltner,0.241,21.0,76.0,53.1,53.1,⚾ Standard Hit Prob,91
595879,Javier Báez,9,Detroit Tigers,Drew Rasmussen,0.241,21.0,76.0,53.1,53.1,⚾ Standard Hit Prob,92
664023,Ian Happ,4,Chicago Cubs,Merrill Kelly,0.241,21.0,76.0,53.1,53.1,⚾ Standard Hit Prob,93
699013,Esmerlyn Valdez,4,Pittsburgh Pirates,Robbie Ray,0.241,21.0,76.0,53.1,53.1,⚾ Standard Hit Prob,94
608070,José Ramírez,8,Cleveland Guardians,George Klassen,0.241,21.0,76.0,53.1,53.1,⚾ Standard Hit Prob,95
630105,Jake Cronenworth,6,San Diego Padres,Braxton Ashcraft,0.24,21.0,76.0,52.9,52.9,⚾ Standard Hit Prob,96
691788,Joe Mack,9,Miami Marlins,Ranger Suarez,0.239,21.0,76.0,52.8,52.8,⚾ Standard Hit Prob,97
624641,Edmundo Sosa,7,Philadelphia Phillies,Logan Gilbert,0.239,21.0,76.0,52.7,52.7,⚾ Standard Hit Prob,98
678011,Anthony Seigler,3,Boston Red Sox,Sandy Alcantara,0.238,21.0,76.0,52.6,52.6,⚾ Standard Hit Prob,99
701538,Jackson Merrill,5,San Diego Padres,Braxton Ashcraft,0.237,21.0,76.0,52.4,52.4,⚾ Standard Hit Prob,100
545361,Mike Trout,7,Los Angeles Angels,Parker Messick,0.236,21.0,76.0,52.3,52.3,⚾ Standard Hit Prob,101
668904,Royce Lewis,9,Minnesota Twins,Jeffrey Springs,0.235,21.0,76.0,52.2,52.2,⚾ Standard Hit Prob,102
661531,Brian Serven,2,Athletics,Zebby Matthews,0.233,21.0,76.0,51.8,51.8,⚾ Standard Hit Prob,103
813841,Jonah Cox,7,San Francisco Giants,Chase Burns,0.233,21.0,76.0,51.8,51.8,⚾ Standard Hit Prob,104
682829,Elly De La Cruz,2,Cincinnati Reds,TBD Pitcher,0.231,21.0,76.0,51.4,51.4,⚾ Standard Hit Prob,105
665923,Esteury Ruiz,4,Miami Marlins,Ranger Suarez,0.231,21.0,76.0,51.4,51.4,⚾ Standard Hit Prob,106
694203,Denzer Guzman,3,Los Angeles Angels,Parker Messick,0.229,21.0,76.0,51.1,51.1,⚾ Standard Hit Prob,107
666023,Freddy Fermin,3,San Diego Padres,Braxton Ashcraft,0.229,21.0,76.0,51.1,51.1,⚾ Standard Hit Prob,108
695731,Braden Montgomery,2,Chicago White Sox,Kumar Rocker,0.227,21.0,76.0,50.8,50.8,⚾ Standard Hit Prob,109
545121,Ildemaro Vargas,4,Arizona Diamondbacks,Kevin Gausman,0.226,21.0,76.0,50.7,50.7,⚾ Standard Hit Prob,110
607043,Brandon Nimmo,1,Texas Rangers,José Urquidy,0.226,21.0,76.0,50.7,50.7,⚾ Standard Hit Prob,111
681393,Connor Norby,4,Colorado Rockies,Cade Cavalli,0.225,21.0,76.0,50.5,50.5,⚾ Standard Hit Prob,112
677587,Brayan Rocchio,4,Cleveland Guardians,George Klassen,0.225,21.0,76.0,50.5,50.5,⚾ Standard Hit Prob,113
666160,Mickey Moniak,8,Colorado Rockies,Cade Cavalli,0.225,21.0,76.0,50.5,50.5,⚾ Standard Hit Prob,114
655316,Andruw Monasterio,2,Boston Red Sox,Sandy Alcantara,0.223,21.0,76.0,50.1,50.1,⚾ Standard Hit Prob,115
669394,Jake Burger,8,Texas Rangers,José Urquidy,0.221,21.0,76.0,49.9,49.9,⚾ Standard Hit Prob,116
687551,Drew Gilbert,6,San Francisco Giants,Chase Burns,0.222,21.0,76.0,49.9,49.9,⚾ Standard Hit Prob,117
