player_name,team,opp_pitcher,p_hand,b_hand,sp_hr9_split,iso,clash_badge,hr_prob,hr_score,hr_rk,current_drought_games,current_drought_pa,saturation,rho_shape,wb_prob,wb_score,wb_rk,exp_tb,prob_o15,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,prob_2plus,combo_score,combo_rk,consensus_score,best_prop_target,rank
Colson Montgomery,Chicago White Sox,Christian Scott,R,L,1.17,0.222,ABOVE-AVG MATCHUP,0.1884,51.5,62,2,8,0.42,1.12,0.1976,65.7,21,1.68,0.5016,33.7,80,0.5856,25.0,188,2.8,0.769,93.3,109,51.5,🔥 1.5+ H+R+RBI,68
Freddie Freeman,Los Angeles Dodgers,Jared Jones,R,L,1.42,0.163,ABOVE-AVG MATCHUP,0.1698,43.2,79,5,21,0.59,1.12,0.1122,25.8,202,1.88,0.5617,54.1,53,0.7247,58.6,61,3.44,0.8579,96.5,22,50.6,🔥 1.5+ H+R+RBI,69
Jose Altuve,Houston Astros,Jacob Lopez,L,R,1.85,0.149,ABOVE-AVG MATCHUP,0.1988,56.2,55,4,18,0.54,1.06,0.1182,28.2,181,1.71,0.5111,36.7,74,0.7194,56.7,64,2.37,0.6859,83.6,166,49.1,🔥 1.5+ H+R+RBI,70
Iván Herrera,St. Louis Cardinals,Andrew Painter,R,R,1.65,0.138,ABOVE-AVG MATCHUP,0.1878,51.3,66,16,74,1.79,1.06,0.1034,25.0,206,1.69,0.5046,34.6,77,0.7343,61.8,45,3.53,0.8668,96.5,17,48.9,🔥 1.5+ H+R+RBI,71
Joe Mack,Miami Marlins,Jake Irvin,R,L,1.39,0.188,ABOVE-AVG MATCHUP,0.1895,52.0,59,22,72,3.44,1.06,0.2009,67.2,19,1.57,0.4669,25.0,98,0.5874,25.0,187,2.3,0.6702,80.9,172,48.6,🔥 1.5+ H+R+RBI,72
Brandon Marsh,Philadelphia Phillies,TBD Pitcher,R,L,1.2,0.163,NEUTRAL TRAJECTORY,0.1565,37.4,94,6,22,0.77,1.12,0.1431,39.2,59,1.69,0.5029,34.1,79,0.7323,61.1,49,3.25,0.8353,96.5,45,48.0,🔥 1.5+ H+R+RBI,73
Christian Encarnacion-Strand,Baltimore Orioles,Shane McClanahan,L,R,0.7,0.247,ABOVE-AVG MATCHUP,0.1298,27.0,130,1,5,0.31,1.06,0.2251,76.9,12,1.68,0.5009,33.5,81,0.6332,28.2,148,2.92,0.7891,94.6,92,47.7,🔥 1.5+ H+R+RBI,74
Elias Díaz,Texas Rangers,Ryan Johnson,R,R,2.49,0.115,ABOVE-AVG MATCHUP,0.2056,59.2,52,3,8,0.24,1.06,0.1127,26.0,199,1.62,0.4825,28.0,90,0.6911,46.9,101,2.77,0.7639,92.9,110,47.1,🔥 1.5+ H+R+RBI,75
Abimelec Ortiz,Washington Nationals,Eury Pérez,R,L,0.51,0.315,ABOVE-AVG MATCHUP,0.1212,25.0,134,1,2,0.14,1.06,0.2499,84.5,6,1.62,0.4811,27.6,91,0.5319,25.0,226,2.97,0.796,95.0,87,47.1,🔥 1.5+ H+R+RBI,76
Gleyber Torres,Detroit Tigers,Michael Wacha,R,R,1.77,0.127,ABOVE-AVG MATCHUP,0.1439,32.3,117,7,31,0.78,1.06,0.1029,25.0,224,1.91,0.57,57.0,46,0.7222,57.7,63,2.45,0.7017,86.1,153,46.6,🔥 1.5+ H+R+RBI,77
Jarren Duran,Boston Red Sox,Blade Tidwell,R,L,1.46,0.156,ABOVE-AVG MATCHUP,0.155,36.8,99,12,53,1.77,1.12,0.1492,42.2,51,1.75,0.5219,40.3,67,0.7278,59.6,55,2.08,0.6141,68.3,219,46.2,⚾ High-Floor Value,78
Lane Thomas,Atlanta Braves,Logan Henderson,R,R,1.33,0.239,ELEVATED POWER EDGE,0.2441,74.3,34,21,58,1.81,1.06,0.1315,33.8,77,1.58,0.4701,25.0,96,0.4606,25.0,247,1.78,0.5326,44.8,253,45.7,👑 HR Prop (Apex),79
Brayan Rocchio,Cleveland Guardians,Gabriel Hughes,R,S,0.81,0.12,POWER SUPPRESSED,0.071,25.0,199,10,35,0.73,1.06,0.0849,25.0,225,1.73,0.5148,37.9,72,0.8133,83.0,13,3.8,0.8926,96.5,6,45.7,🎯 1+ Hit Anchor,80
José Ramírez,Cleveland Guardians,Gabriel Hughes,R,S,0.81,0.142,NEUTRAL TRAJECTORY,0.0975,25.0,167,6,26,0.63,1.06,0.0972,25.0,228,1.75,0.5234,40.8,66,0.7922,78.4,21,2.99,0.8,95.3,84,45.5,🎯 1+ Hit Anchor,81
Alejandro Kirk,Toronto Blue Jays,Ryan Weathers,L,R,1.35,0.148,ABOVE-AVG MATCHUP,0.1692,42.9,80,1,4,0.13,1.06,0.1228,30.1,152,1.6,0.4761,26.2,93,0.7252,58.7,59,3.33,0.8444,96.5,31,45.4,🔥 1.5+ H+R+RBI,82
Ildemaro Vargas,Arizona Diamondbacks,Rhett Lowder,R,S,1.63,0.141,ABOVE-AVG MATCHUP,0.1687,42.7,82,0,0,0.0,1.06,0.0777,25.0,269,1.67,0.4979,32.5,82,0.7194,56.7,65,3.24,0.8333,96.5,48,45.3,🔥 1.5+ H+R+RBI,83
Harry Ford,Washington Nationals,Eury Pérez,R,R,1.57,0.211,ABOVE-AVG MATCHUP,0.2338,70.6,38,0,0,0.0,1.02,0.1175,27.9,186,1.65,0.4911,30.5,85,0.5676,25.0,202,2.12,0.6262,71.4,207,45.2,⚾ High-Floor Value,84
Jackson Merrill,San Diego Padres,Dean Kremer,R,L,2.01,0.167,ABOVE-AVG MATCHUP,0.2104,61.2,49,3,12,0.43,1.12,0.1388,37.2,66,1.63,0.4836,28.3,88,0.6016,25.0,177,2.26,0.66,78.9,180,45.0,🔥 1.5+ H+R+RBI,85
Blaze Jordan,St. Louis Cardinals,Andrew Painter,R,R,1.65,0.121,ABOVE-AVG MATCHUP,0.1667,41.8,84,1,4,0.12,1.02,0.1205,29.1,168,1.6,0.4765,26.3,92,0.7299,60.3,52,3.03,0.8046,95.5,78,45.0,🔥 1.5+ H+R+RBI,86
Coby Mayo,Baltimore Orioles,Shane McClanahan,L,R,0.7,0.226,ABOVE-AVG MATCHUP,0.1194,25.0,136,18,62,3.16,1.12,0.2321,79.3,10,1.48,0.4367,25.0,123,0.5737,25.0,199,2.7,0.752,91.9,121,45.0,🔥 1.5+ H+R+RBI,87
José Fermín,St. Louis Cardinals,Andrew Painter,R,R,1.65,0.119,ABOVE-AVG MATCHUP,0.1642,40.7,89,7,17,0.31,1.06,0.0712,25.0,241,1.64,0.4879,29.5,87,0.7442,65.0,39,2.56,0.7248,89.1,140,44.5,🎯 1+ Hit Anchor,88
CJ Abrams,Washington Nationals,Eury Pérez,R,L,0.51,0.251,ABOVE-AVG MATCHUP,0.0978,25.0,166,4,18,0.98,1.12,0.2185,74.5,16,1.54,0.4564,25.0,105,0.6026,25.0,176,3.45,0.8586,96.5,21,44.5,🔥 1.5+ H+R+RBI,89
Michael Harris II,Atlanta Braves,Logan Henderson,R,L,1.48,0.194,ABOVE-AVG MATCHUP,0.2061,59.4,50,0,0,0.0,1.12,0.1235,30.4,146,1.7,0.5056,34.9,76,0.6206,25.0,159,2.24,0.6554,78.0,183,44.4,🔥 1.5+ H+R+RBI,90
A.J. Ewing,New York Mets,Luis Castillo,R,L,1.94,0.122,ABOVE-AVG MATCHUP,0.1733,44.8,75,2,9,0.17,1.06,0.0737,25.0,248,1.66,0.4945,31.5,84,0.7061,52.1,78,2.71,0.7536,92.0,119,44.4,🔥 1.5+ H+R+RBI,91
Elly De La Cruz,Cincinnati Reds,Michael Soroka,R,S,0.66,0.206,ABOVE-AVG MATCHUP,0.1035,25.0,161,1,4,0.16,1.12,0.1428,39.1,61,1.73,0.5151,38.0,71,0.7153,55.3,68,3.03,0.8048,95.5,77,44.3,🔥 1.5+ H+R+RBI,92
Brett Bateman,Toronto Blue Jays,Ryan Weathers,L,L,0.83,0.094,POWER SUPPRESSED,0.0569,25.0,211,12,56,1.75,1.02,0.1257,31.3,105,1.37,0.3963,25.0,154,0.8085,82.0,17,3.39,0.8524,96.5,26,44.1,🎯 1+ Hit Anchor,93
Jorge Mateo,Tampa Bay Rays,Brandon Young,R,R,1.55,0.14,ABOVE-AVG MATCHUP,0.1601,39.0,93,2,3,0.1,1.06,0.1219,29.7,159,1.57,0.4642,25.0,99,0.7277,59.6,56,3.01,0.803,95.4,80,43.9,🔥 1.5+ H+R+RBI,94
Jose Siri,Los Angeles Angels,Cody Bradford,L,R,0.0,0.2,ABOVE-AVG MATCHUP,0.0198,25.0,255,9,11,0.48,1.06,0.1676,51.3,36,1.48,0.4344,25.0,127,0.7084,52.9,75,3.35,0.8477,96.5,28,43.8,🔥 1.5+ H+R+RBI,95
Austin Hedges,Cleveland Guardians,Gabriel Hughes,R,R,0.61,0.115,POWER SUPPRESSED,0.0518,25.0,218,12,39,1.22,1.02,0.1249,31.0,119,1.65,0.4906,30.3,86,0.7683,72.2,31,3.8,0.8926,96.5,5,43.6,🎯 1+ Hit Anchor,96
James McCann,Arizona Diamondbacks,Rhett Lowder,R,R,0.45,0.147,NEUTRAL TRAJECTORY,0.0494,25.0,223,22,65,2.03,1.02,0.1261,31.5,100,1.45,0.4267,25.0,134,0.7936,78.8,20,3.59,0.8735,96.5,12,43.6,🎯 1+ Hit Anchor,97
Drake Baldwin,Atlanta Braves,Logan Henderson,R,L,1.48,0.176,ABOVE-AVG MATCHUP,0.1889,51.8,61,0,0,0.0,1.12,0.1362,36.0,67,1.55,0.4588,25.0,101,0.5892,25.0,185,2.88,0.7825,94.2,97,43.2,🔥 1.5+ H+R+RBI,98
Derek Hill,Philadelphia Phillies,TBD Pitcher,R,R,1.2,0.162,NEUTRAL TRAJECTORY,0.1556,37.1,96,16,27,1.34,1.06,0.1974,65.7,20,1.44,0.4213,25.0,137,0.6191,25.0,160,2.11,0.6222,70.4,211,42.8,⚾ High-Floor Value,99
Gabriel Moreno,Arizona Diamondbacks,Rhett Lowder,R,R,0.45,0.161,NEUTRAL TRAJECTORY,0.054,25.0,215,14,50,1.2,1.06,0.1,25.0,217,1.54,0.4553,25.0,106,0.8064,81.6,18,3.72,0.8855,96.5,11,42.6,🎯 1+ Hit Anchor,100
Luis García Jr.,New York Yankees,Dylan Cease,R,L,0.8,0.161,NEUTRAL TRAJECTORY,0.1076,25.0,154,8,29,1.67,1.12,0.2417,82.3,7,1.04,0.2775,25.0,220,0.5275,25.0,230,2.04,0.6035,65.5,223,42.5,⚾ High-Floor Value,101
Charles McAdoo,Toronto Blue Jays,Ryan Weathers,L,R,1.35,0.141,ABOVE-AVG MATCHUP,0.1619,39.8,92,0,0,0.0,1.02,0.1175,27.9,183,1.5,0.442,25.0,117,0.6977,49.2,90,3.1,0.8148,96.0,66,42.2,🔥 1.5+ H+R+RBI,102
Jordan Lawlar,Arizona Diamondbacks,Rhett Lowder,R,R,0.45,0.151,NEUTRAL TRAJECTORY,0.0507,25.0,221,5,17,0.53,1.02,0.1231,30.2,149,1.42,0.4166,25.0,141,0.7788,75.1,27,2.69,0.7486,91.6,124,42.2,🎯 1+ Hit Anchor,103
Jonah Heim,Athletics,Hunter Brown,R,S,1.45,0.179,ABOVE-AVG MATCHUP,0.1883,51.5,64,11,40,1.48,1.06,0.1518,43.4,48,1.49,0.4376,25.0,122,0.5773,25.0,198,2.13,0.628,71.8,204,42.1,⚾ High-Floor Value,104
Kyle Karros,Colorado Rockies,Tanner Bibee,R,R,0.82,0.157,NEUTRAL TRAJECTORY,0.1085,25.0,153,21,67,1.67,1.06,0.1059,25.0,210,1.62,0.483,28.1,89,0.7767,74.5,28,3.02,0.8035,95.4,79,42.1,🎯 1+ Hit Anchor,105
Brice Turang,Milwaukee Brewers,Martín Pérez,L,L,1.16,0.176,NEUTRAL TRAJECTORY,0.1447,32.6,114,5,23,0.68,1.12,0.1203,29.0,172,1.66,0.4951,31.7,83,0.6999,50.0,86,3.04,0.8063,95.6,75,42.0,🔥 1.5+ H+R+RBI,106
Agustín Ramírez,Miami Marlins,Jake Irvin,R,R,1.8,0.109,ABOVE-AVG MATCHUP,0.1459,33.1,112,15,64,2.0,1.02,0.126,31.4,101,1.47,0.4321,25.0,130,0.7142,55.0,71,2.96,0.794,94.9,88,41.9,🔥 1.5+ H+R+RBI,107
Brandon Valenzuela,Toronto Blue Jays,Ryan Weathers,L,S,1.35,0.158,ABOVE-AVG MATCHUP,0.1796,47.6,70,4,8,0.27,1.06,0.1294,32.9,80,1.44,0.4219,25.0,136,0.6308,27.5,149,2.94,0.7914,94.8,89,41.8,🔥 1.5+ H+R+RBI,108
Jonah Cox,San Francisco Giants,Patrick Sandoval,L,R,0.33,0.186,ABOVE-AVG MATCHUP,0.0444,25.0,228,5,6,0.19,1.02,0.1211,29.4,164,1.73,0.516,38.3,69,0.7312,60.7,50,2.41,0.6932,84.8,159,41.8,🔥 1.5+ H+R+RBI,109
Cody Freeman,Texas Rangers,Ryan Johnson,R,R,2.49,0.05,ABOVE-AVG MATCHUP,0.0952,25.0,170,13,34,1.06,1.02,0.1246,30.8,128,1.3,0.3726,25.0,166,0.7558,68.6,35,3.04,0.8072,95.6,74,41.7,🎯 1+ Hit Anchor,110
Christian Vázquez,Houston Astros,Jacob Lopez,L,R,1.85,0.13,ABOVE-AVG MATCHUP,0.1758,45.9,73,2,5,0.15,1.06,0.1101,25.0,250,1.52,0.4472,25.0,112,0.6776,42.2,109,2.7,0.7505,91.7,122,41.6,🔥 1.5+ H+R+RBI,111
Jimmy Crooks,St. Louis Cardinals,Andrew Painter,R,L,1.89,0.139,ABOVE-AVG MATCHUP,0.2134,62.5,48,6,20,0.62,1.02,0.1235,30.4,145,1.47,0.433,25.0,128,0.6392,29.9,145,1.94,0.5773,58.1,236,41.4,⚾ High-Floor Value,112
Miguel Vargas,Chicago White Sox,Christian Scott,R,R,0.3,0.254,ABOVE-AVG MATCHUP,0.0594,25.0,210,3,11,0.58,1.12,0.2012,67.3,18,1.54,0.4544,25.0,107,0.611,25.0,169,2.4,0.6915,84.5,163,41.4,🔥 1.5+ H+R+RBI,113
Geraldo Perdomo,Arizona Diamondbacks,Rhett Lowder,R,S,1.63,0.128,ABOVE-AVG MATCHUP,0.1544,36.6,101,0,0,0.0,1.06,0.0568,25.0,268,1.56,0.4633,25.0,100,0.7011,50.4,83,3.26,0.837,96.5,41,40.9,🔥 1.5+ H+R+RBI,114
Chandler Simpson,Tampa Bay Rays,Brandon Young,R,L,0.89,0.056,NEUTRAL TRAJECTORY,0.0374,25.0,232,120,485,15.16,1.02,0.1308,33.5,79,1.19,0.3331,25.0,191,0.7248,58.6,60,3.32,0.8441,96.5,33,40.8,🔥 1.5+ H+R+RBI,115
Brady House,Washington Nationals,Eury Pérez,R,R,1.57,0.158,ABOVE-AVG MATCHUP,0.1808,48.1,69,0,0,0.0,1.06,0.1208,29.2,167,1.46,0.4272,25.0,133,0.6099,25.0,171,2.8,0.7691,93.3,108,40.6,🔥 1.5+ H+R+RBI,116
Nick Fortes,Tampa Bay Rays,Brandon Young,R,R,1.55,0.101,ABOVE-AVG MATCHUP,0.1183,25.0,140,4,13,0.41,1.02,0.1226,30.0,153,1.51,0.4466,25.0,113,0.7635,70.9,32,2.39,0.6896,84.2,165,40.5,🎯 1+ Hit Anchor,117
Evan Carter,Texas Rangers,Ryan Johnson,R,L,2.34,0.128,ABOVE-AVG MATCHUP,0.214,62.8,47,12,40,0.87,1.06,0.0897,25.0,221,1.4,0.4085,25.0,146,0.6182,25.0,162,2.03,0.6018,65.1,225,40.4,⚾ High-Floor Value,118
