player_name,team,opp_pitcher,p_hand,b_hand,sp_hr9_split,iso,clash_badge,hr_prob,hr_score,hr_rk,current_drought_games,current_drought_pa,saturation,rho_shape,wb_prob,wb_score,wb_rk,exp_tb,prob_o15,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,prob_2plus,combo_score,combo_rk,consensus_score,best_prop_target,rank
Nathaniel Lowe,Cleveland Guardians,Tanner Gordon,R,L,2.52,0.219,ABOVE-AVG MATCHUP,0.4205,96.5,1,14,34,1.48,1.06,0.1772,56.1,25,3.37,0.8498,96.5,1,0.8415,87.9,5,3.8,0.8926,96.5,7,91.4,👑 HR Prop (Apex),1
Jo Adell,Cleveland Guardians,Tanner Gordon,R,R,1.13,0.271,ABOVE-AVG MATCHUP,0.2612,79.8,7,10,40,1.49,1.12,0.1615,48.3,33,2.83,0.7736,95.8,5,0.7781,74.9,17,3.8,0.8926,96.5,6,82.3,👑 HR Prop (Apex),2
Eduardo Valencia,Detroit Tigers,Noah Cameron,L,R,0.87,0.407,ABOVE-AVG MATCHUP,0.2234,66.6,14,0,0,0.0,1.06,0.2385,81.3,3,3.08,0.8127,96.5,2,0.7929,78.6,14,3.8,0.8926,96.5,1,81.9,💎 Over 1.5 TB,3
Rafael Flores Jr.,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,1.06,0.416,ABOVE-AVG MATCHUP,0.2985,88.5,4,1,1,0.07,1.06,0.2458,83.4,2,2.48,0.7087,90.2,9,0.6723,40.4,55,2.84,0.7762,93.8,60,80.7,💎 Over 1.5 TB,4
Chase DeLauter,Cleveland Guardians,Tanner Gordon,R,L,2.52,0.157,ABOVE-AVG MATCHUP,0.3237,92.4,2,0,0,0.0,1.06,0.0986,25.0,160,3.03,0.8056,96.5,4,0.8892,93.4,1,3.8,0.8926,96.5,4,79.1,💎 Over 1.5 TB,5
Yordan Alvarez,Houston Astros,J.T. Ginn,R,L,1.14,0.294,ABOVE-AVG MATCHUP,0.2362,71.5,11,1,4,0.26,1.12,0.2292,78.3,6,2.3,0.6695,84.2,11,0.7522,67.5,22,3.8,0.8926,96.5,2,78.2,💎 Over 1.5 TB,6
Mickey Moniak,Colorado Rockies,Joey Cantillo,L,L,0.83,0.273,ABOVE-AVG MATCHUP,0.2007,57.0,20,2,5,0.3,1.12,0.2164,73.7,10,2.64,0.7409,93.5,6,0.7821,75.9,16,3.53,0.8672,96.5,19,76.5,💎 Over 1.5 TB,7
José Ramírez,Cleveland Guardians,Tanner Gordon,R,S,2.52,0.143,ABOVE-AVG MATCHUP,0.2997,88.7,3,6,26,0.63,1.06,0.0984,25.0,138,2.62,0.7366,93.2,7,0.8354,86.9,6,3.8,0.8926,96.5,5,76.3,💎 Over 1.5 TB,8
Miguel Vargas,Chicago White Sox,Sean Manaea,L,R,1.49,0.247,ELEVATED POWER EDGE,0.2768,83.9,6,3,11,0.56,1.12,0.195,64.6,14,2.37,0.6841,86.7,10,0.6919,47.2,43,3.16,0.8228,96.4,30,75.9,💎 Over 1.5 TB,9
Travis Bazzana,Cleveland Guardians,Tanner Gordon,R,L,2.52,0.136,ABOVE-AVG MATCHUP,0.2873,86.3,5,8,34,0.77,1.06,0.0921,25.0,135,2.53,0.7191,91.4,8,0.8278,85.7,7,3.02,0.8033,95.4,46,74.9,💎 Over 1.5 TB,10
Angel Genao,Cleveland Guardians,Tanner Gordon,R,S,2.52,0.111,ABOVE-AVG MATCHUP,0.2416,73.5,9,3,13,0.41,1.02,0.1226,30.0,99,3.05,0.8076,96.5,3,0.8892,93.4,2,3.8,0.8926,96.5,8,74.9,💎 Over 1.5 TB,11
Shohei Ohtani,Los Angeles Dodgers,Bubba Chandler,R,L,1.12,0.263,ABOVE-AVG MATCHUP,0.2108,61.4,16,6,26,1.44,1.12,0.2314,79.1,5,2.28,0.6645,83.2,13,0.7077,52.7,35,3.8,0.8926,96.5,15,72.9,💎 Over 1.5 TB,12
Nolan Arenado,Arizona Diamondbacks,Nick Lodolo,L,R,1.82,0.2,ABOVE-AVG MATCHUP,0.2537,77.5,8,14,52,2.25,1.12,0.1937,64.0,15,1.96,0.5817,60.9,26,0.6826,43.9,49,3.3,0.8413,96.5,25,71.8,👑 HR Prop (Apex),13
Byron Buxton,Minnesota Twins,Randy Vásquez,R,R,1.25,0.268,ELEVATED POWER EDGE,0.2286,68.7,12,14,62,4.0,1.12,0.2907,92.5,1,1.86,0.5549,51.7,31,0.6139,25.0,101,3.07,0.8112,95.8,38,70.4,🔥 1.5+ H+R+RBI,14
Pete Crow-Armstrong,Chicago Cubs,Emerson Hancock,R,L,1.26,0.271,ELEVATED POWER EDGE,0.2371,71.9,10,10,41,2.23,1.12,0.2368,80.8,4,1.81,0.5394,46.3,35,0.6499,33.2,79,3.04,0.8063,95.6,44,68.8,🔥 1.5+ H+R+RBI,15
Max Muncy,Los Angeles Dodgers,Bubba Chandler,R,L,1.12,0.246,ABOVE-AVG MATCHUP,0.1987,56.1,23,4,11,0.62,1.12,0.2182,74.3,9,2.05,0.6062,68.7,20,0.6786,42.6,52,3.54,0.8678,96.5,17,65.6,🔥 1.5+ H+R+RBI,16
