player_name,team,opp_pitcher,hr_prob,hr_score,hr_rk,drought_games,wb_prob,wb_score,wb_rk,exp_tb,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,combo_score,combo_rk,consensus_score,best_prop_target,rank
Kenny Piper,Tampa Bay Rays,Framber Valdez,32.6,65.2,1,1,13.6,27.2,32,2.11,99.0,3,54.6,54.6,73,1.91,76.3,19,63.9,👑 HR Prop (Apex),1
Andrew Pinckney,Washington Nationals,Ryan Feltner,18.5,37.0,11,7,25.1,50.2,4,2.16,99.0,6,54.6,54.6,74,2.33,93.1,3,63.1,💎 Over 1.5 TB,2
Eduardo Valencia,Detroit Tigers,Drew Rasmussen,19.2,38.3,9,5,26.8,53.7,3,2.29,99.0,2,64.7,64.7,8,1.29,51.5,84,60.9,💎 Over 1.5 TB,3
Brett Callahan,Detroit Tigers,Drew Rasmussen,21.1,42.1,3,4,21.3,42.7,7,2.3,99.0,1,58.8,58.8,33,1.53,61.4,52,59.7,💎 Over 1.5 TB,4
Abimelec Ortiz,Washington Nationals,Ryan Feltner,21.1,42.2,2,6,19.3,38.6,10,1.97,98.4,13,47.2,47.2,142,1.93,77.2,16,58.8,💎 Over 1.5 TB,5
Griffin Conine,Miami Marlins,Ranger Suarez,18.4,36.7,12,4,15.2,30.3,22,2.05,99.0,4,57.9,57.9,39,1.93,77.3,15,57.3,💎 Over 1.5 TB,6
Corbin Carroll,Arizona Diamondbacks,Kevin Gausman,14.4,28.8,24,9,19.1,38.2,11,1.97,98.3,14,58.8,58.8,32,1.88,75.2,24,56.5,💎 Over 1.5 TB,7
Esmerlyn Valdez,Pittsburgh Pirates,Robbie Ray,10.1,20.1,78,24,37.5,75.1,1,1.58,78.8,48,53.1,53.1,94,1.76,70.4,32,56.4,⚾ High-Floor Value,8
Andrés Chaparro,Washington Nationals,Ryan Feltner,15.5,30.9,22,3,14.0,28.0,30,2.02,99.0,5,55.9,55.9,56,2.25,89.9,4,56.3,💎 Over 1.5 TB,9
Alex Bregman,Chicago Cubs,Merrill Kelly,20.2,40.5,5,1,4.1,10.0,173,2.21,99.0,7,59.5,59.5,30,2.37,95.0,2,56.2,💎 Over 1.5 TB,10
Fernando Tatis Jr.,San Diego Padres,Braxton Ashcraft,20.2,40.3,7,0,8.0,16.0,94,2.5,99.0,9,65.2,65.2,6,1.88,75.4,21,56.1,💎 Over 1.5 TB,11
Brian Serven,Athletics,Zebby Matthews,20.9,41.8,4,0,8.0,16.0,97,2.16,99.0,10,51.8,51.8,103,1.82,73.0,29,54.1,💎 Over 1.5 TB,12
Junior Caminero,Tampa Bay Rays,Framber Valdez,15.8,31.6,18,11,23.0,45.9,5,1.73,86.5,30,55.7,55.7,60,1.51,60.5,56,54.1,⚾ High-Floor Value,13
Brooks Lee,Minnesota Twins,Jeffrey Springs,14.3,28.6,25,0,8.0,16.0,96,1.96,97.8,15,57.3,57.3,43,2.14,85.8,6,52.5,💎 Over 1.5 TB,14
Miguel Vargas,Chicago White Sox,Kumar Rocker,20.2,40.4,6,2,10.4,20.8,57,1.82,91.1,20,58.4,58.4,35,1.46,58.6,62,52.3,💎 Over 1.5 TB,15
Brett Sullivan,Colorado Rockies,Cade Cavalli,17.2,34.4,14,5,11.2,22.4,53,1.92,95.9,16,54.8,54.8,70,1.62,65.0,40,52.2,💎 Over 1.5 TB,16
CJ Abrams,Washington Nationals,Ryan Feltner,12.0,24.0,38,7,18.2,36.4,14,1.64,82.2,41,55.8,55.8,58,2.12,84.8,7,51.9,⚾ High-Floor Value,17
Bryan De La Cruz,Philadelphia Phillies,Logan Gilbert,10.3,20.5,76,7,13.6,27.2,31,2.08,99.0,8,66.1,66.1,5,1.63,65.1,39,51.9,💎 Over 1.5 TB,18
Jo Adell,Cleveland Guardians,George Klassen,18.9,37.7,10,1,8.6,17.2,78,1.74,87.0,28,56.2,56.2,52,1.89,75.4,22,51.5,⚾ High-Floor Value,19
Gustavo Campero,Los Angeles Angels,Parker Messick,10.4,20.9,68,2,4.5,10.0,162,1.98,98.8,12,76.9,76.9,1,1.95,78.1,13,51.5,💎 Over 1.5 TB,20
Ian Happ,Chicago Cubs,Merrill Kelly,16.8,33.7,16,0,8.0,16.0,92,1.75,87.6,27,53.1,53.1,93,2.2,87.9,5,51.3,⚾ High-Floor Value,21
Brandon Lowe,Pittsburgh Pirates,Robbie Ray,13.5,27.0,29,2,8.8,17.7,74,2.0,99.0,11,55.6,55.6,62,1.8,72.2,30,50.8,💎 Over 1.5 TB,22
Byron Buxton,Minnesota Twins,Jeffrey Springs,10.6,21.2,62,23,32.7,65.5,2,1.35,67.6,102,45.4,45.4,152,1.65,65.9,37,50.4,⚾ High-Floor Value,23
Angel Martínez,Cleveland Guardians,George Klassen,9.2,18.3,87,11,14.0,28.0,29,1.76,87.8,26,59.6,59.6,29,2.12,84.7,8,50.3,⚾ High-Floor Value,24
Chase DeLauter,Cleveland Guardians,George Klassen,8.9,17.9,89,8,10.3,20.5,59,1.66,82.9,39,63.7,63.7,11,2.43,97.0,1,49.6,⚾ High-Floor Value,25
Ben Malgeri,Detroit Tigers,Drew Rasmussen,19.7,39.4,8,6,9.8,19.6,65,1.84,92.1,18,47.8,47.8,139,1.28,51.1,88,49.4,💎 Over 1.5 TB,26
Jake McCarthy,Colorado Rockies,Cade Cavalli,12.1,24.2,37,13,16.1,32.1,20,1.73,86.6,29,61.5,61.5,18,1.34,53.6,77,49.2,⚾ High-Floor Value,27
Gabriel Moreno,Arizona Diamondbacks,Kevin Gausman,10.0,20.0,82,4,7.4,14.9,106,1.9,95.1,17,64.0,64.0,10,1.9,76.2,20,49.2,💎 Over 1.5 TB,28
James McCann,Arizona Diamondbacks,Kevin Gausman,10.5,21.0,65,7,8.1,16.3,87,1.76,88.2,24,65.0,65.0,7,1.97,78.9,12,48.7,⚾ High-Floor Value,29
Josh Bell,Minnesota Twins,Jeffrey Springs,11.8,23.7,41,4,8.0,16.1,89,1.67,83.7,35,57.7,57.7,40,2.09,83.7,9,47.9,⚾ High-Floor Value,30
Corey Seager,Texas Rangers,José Urquidy,14.9,29.7,23,3,8.2,16.5,85,1.84,92.1,19,55.8,55.8,57,1.39,55.7,68,47.8,💎 Over 1.5 TB,31
Jackson Merrill,San Diego Padres,Braxton Ashcraft,16.7,33.3,17,0,8.0,16.0,95,1.73,86.4,31,52.4,52.4,100,1.47,58.8,61,47.3,⚾ High-Floor Value,32
Bryce Harper,Philadelphia Phillies,Logan Gilbert,13.2,26.5,30,1,7.0,14.0,111,1.79,89.7,21,58.5,58.5,34,1.56,62.5,49,47.1,⚾ High-Floor Value,33
Corey Julks,Detroit Tigers,Drew Rasmussen,13.6,27.3,28,3,6.9,13.8,113,1.67,83.3,37,66.3,66.3,4,1.54,61.6,51,47.0,⚾ High-Floor Value,34
Dominic Canzone,Seattle Mariners,Zack Wheeler,10.0,20.1,79,10,18.4,36.7,13,1.6,79.9,45,56.2,56.2,51,1.38,55.3,70,46.9,⚾ High-Floor Value,35
