player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,slg,iso,opp_slg_split,xbh_badge,exp_tb,prob_o15,prob_o25,score,target_call,rank
663993,Nathaniel Lowe,5,Cleveland Guardians,Tanner Gordon,R,L,0.463,0.219,0.617,GAP [2B/3B EDGE],3.37,0.8498,0.6546,96.5,👑 LOCK: Over 1.5 TB (Anchor),1
680664,Eduardo Valencia,5,Detroit Tigers,Noah Cameron,L,R,0.763,0.407,0.367,POWER [XBH SURGE],3.08,0.8127,0.5948,96.5,👑 LOCK: Over 1.5 TB (Anchor),2
694197,Angel Genao,6,Cleveland Guardians,Tanner Gordon,R,S,0.444,0.111,0.617,BALANCED SLUGGER,3.05,0.8076,0.587,96.5,👑 LOCK: Over 1.5 TB (Anchor),3
800050,Chase DeLauter,2,Cleveland Guardians,Tanner Gordon,R,L,0.442,0.157,0.617,BALANCED SLUGGER,3.03,0.8056,0.584,96.5,👑 LOCK: Over 1.5 TB (Anchor),4
666176,Jo Adell,4,Cleveland Guardians,Tanner Gordon,R,R,0.479,0.271,0.473,POWER [XBH SURGE],2.83,0.7736,0.5371,95.8,👑 LOCK: Over 1.5 TB (Anchor),5
666160,Mickey Moniak,7,Colorado Rockies,Joey Cantillo,L,L,0.539,0.273,0.393,POWER [XBH SURGE],2.64,0.7409,0.4924,93.5,👑 LOCK: Over 1.5 TB (Anchor),6
608070,José Ramírez,3,Cleveland Guardians,Tanner Gordon,R,S,0.382,0.143,0.617,BALANCED SLUGGER,2.62,0.7366,0.4867,93.2,👑 LOCK: Over 1.5 TB (Anchor),7
683953,Travis Bazzana,7,Cleveland Guardians,Tanner Gordon,R,L,0.369,0.136,0.617,BALANCED SLUGGER,2.53,0.7191,0.4642,91.4,👑 LOCK: Over 1.5 TB (Anchor),8
804668,Rafael Flores Jr.,6,Pittsburgh Pirates,Yoshinobu Yamamoto,R,R,0.729,0.416,0.339,POWER [XBH SURGE],2.48,0.7087,0.4513,90.2,👑 LOCK: Over 1.5 TB (Anchor),9
678246,Miguel Vargas,3,Chicago White Sox,Sean Manaea,L,R,0.487,0.247,0.484,POWER [XBH SURGE],2.37,0.6841,0.4214,86.7,👑 LOCK: Over 1.5 TB (Anchor),10
670541,Yordan Alvarez,2,Houston Astros,J.T. Ginn,R,L,0.613,0.294,0.374,POWER [XBH SURGE],2.3,0.6695,0.4043,84.2,👑 LOCK: Over 1.5 TB (Anchor),11
694249,Cole Carrigg,3,Colorado Rockies,Joey Cantillo,L,S,0.467,0.186,0.417,GAP [2B/3B EDGE],2.3,0.6686,0.4034,84.0,👑 LOCK: Over 1.5 TB (Anchor),12
660271,Shohei Ohtani,1,Los Angeles Dodgers,Bubba Chandler,R,L,0.554,0.263,0.41,POWER [XBH SURGE],2.28,0.6645,0.3987,83.2,👑 LOCK: Over 1.5 TB (Anchor),13
664983,Jake McCarthy,1,Colorado Rockies,Joey Cantillo,L,L,0.49,0.195,0.393,GAP [2B/3B EDGE],2.27,0.6627,0.3966,82.9,👑 LOCK: Over 1.5 TB (Anchor),14
680757,Steven Kwan,1,Cleveland Guardians,Tanner Gordon,R,L,0.327,0.062,0.617,BALANCED SLUGGER,2.24,0.6558,0.3888,81.5,👑 LOCK: Over 1.5 TB (Anchor),15
682998,Corbin Carroll,2,Arizona Diamondbacks,Nick Lodolo,L,L,0.484,0.238,0.448,POWER [XBH SURGE],2.18,0.6397,0.371,77.8,🔥 TARGET: Over 1.5 TB,16
665019,Kody Clemens,5,Minnesota Twins,Randy Vásquez,R,L,0.465,0.229,0.506,POWER [XBH SURGE],2.13,0.627,0.3573,74.6,🔥 TARGET: Over 1.5 TB,17
690984,Petey Halpin,9,Cleveland Guardians,Tanner Gordon,R,L,0.308,0.093,0.617,BALANCED SLUGGER,2.11,0.6237,0.3538,73.7,🔥 TARGET: Over 1.5 TB,18
680869,Zack Gelof,3,Athletics,Hayden Wesneski,R,R,0.481,0.212,0.452,GAP [2B/3B EDGE],2.06,0.6109,0.3405,70.1,🔥 TARGET: Over 1.5 TB,19
571970,Max Muncy,4,Los Angeles Dodgers,Bubba Chandler,R,L,0.497,0.246,0.41,POWER [XBH SURGE],2.05,0.6062,0.3357,68.7,🔥 TARGET: Over 1.5 TB,20
808959,Munetaka Murakami,2,Chicago White Sox,Sean Manaea,L,L,0.53,0.303,0.379,POWER [XBH SURGE],2.02,0.5984,0.3278,66.3,🔥 TARGET: Over 1.5 TB,21
695506,Jac Caglianone,3,Kansas City Royals,Troy Melton,R,L,0.495,0.216,0.385,GAP [2B/3B EDGE],1.98,0.5893,0.3187,63.4,🔥 TARGET: Over 1.5 TB,22
693307,Dillon Dingler,4,Detroit Tigers,Noah Cameron,L,R,0.49,0.235,0.367,POWER [XBH SURGE],1.98,0.5883,0.3176,63.1,🔥 TARGET: Over 1.5 TB,23
650489,Willi Castro,5,Colorado Rockies,Joey Cantillo,L,S,0.425,0.161,0.417,BALANCED SLUGGER,1.97,0.5859,0.3153,62.3,🔥 TARGET: Over 1.5 TB,24
691720,Kyle Karros,2,Colorado Rockies,Joey Cantillo,L,R,0.424,0.159,0.417,BALANCED SLUGGER,1.97,0.5847,0.3141,61.9,🔥 TARGET: Over 1.5 TB,25
571448,Nolan Arenado,5,Arizona Diamondbacks,Nick Lodolo,L,R,0.443,0.2,0.465,GAP [2B/3B EDGE],1.96,0.5817,0.3112,60.9,🔥 TARGET: Over 1.5 TB,26
672515,Gabriel Moreno,3,Arizona Diamondbacks,Nick Lodolo,L,R,0.47,0.163,0.465,BALANCED SLUGGER,1.95,0.5816,0.311,60.9,🔥 TARGET: Over 1.5 TB,27
681198,TJ Rumfield,4,Colorado Rockies,Joey Cantillo,L,L,0.447,0.155,0.393,BALANCED SLUGGER,1.95,0.5812,0.3106,60.7,🔥 TARGET: Over 1.5 TB,28
801126,Brock Rodden,9,Seattle Mariners,Matthew Boyd,L,S,0.5,0.2,0.452,GAP [2B/3B EDGE],1.89,0.5627,0.2929,54.4,⚾ Baseline TB Range,29
605137,Josh Bell,3,Minnesota Twins,Randy Vásquez,R,S,0.433,0.175,0.506,GAP [2B/3B EDGE],1.87,0.5581,0.2886,52.8,⚾ Baseline TB Range,30
621439,Byron Buxton,2,Minnesota Twins,Randy Vásquez,R,R,0.524,0.268,0.393,POWER [XBH SURGE],1.86,0.5549,0.2856,51.7,⚾ Baseline TB Range,31
664034,Ty France,4,San Diego Padres,Connor Prielipp,L,R,0.511,0.22,0.403,POWER [XBH SURGE],1.86,0.5549,0.2856,51.7,⚾ Baseline TB Range,32
805808,Kevin McGonigle,3,Detroit Tigers,Noah Cameron,L,L,0.424,0.142,0.443,BALANCED SLUGGER,1.84,0.5494,0.2805,49.8,⚾ Baseline TB Range,33
686797,Brooks Lee,8,Minnesota Twins,Randy Vásquez,R,S,0.419,0.175,0.506,GAP [2B/3B EDGE],1.81,0.5404,0.2723,46.6,⚾ Baseline TB Range,34
691718,Pete Crow-Armstrong,1,Chicago Cubs,Emerson Hancock,R,L,0.55,0.271,0.372,POWER [XBH SURGE],1.81,0.5394,0.2714,46.3,⚾ Baseline TB Range,35
703601,Max Clark,8,Detroit Tigers,Noah Cameron,L,L,0.414,0.143,0.443,BALANCED SLUGGER,1.8,0.5366,0.2689,45.3,⚾ Baseline TB Range,36
642350,Jose Siri,5,Los Angeles Angels,MacKenzie Gore,L,R,0.461,0.206,0.404,GAP [2B/3B EDGE],1.77,0.5275,0.2607,42.2,⚾ Baseline TB Range,37
701398,Sal Stewart,2,Cincinnati Reds,Eduardo Rodriguez,L,R,0.474,0.215,0.392,GAP [2B/3B EDGE],1.76,0.5262,0.2596,41.7,⚾ Baseline TB Range,38
805367,Chase Meidroth,1,Chicago White Sox,Sean Manaea,L,R,0.406,0.133,0.484,BALANCED SLUGGER,1.76,0.5244,0.258,41.1,⚾ Baseline TB Range,39
679822,Justin Foscue,1,Texas Rangers,Reid Detmers,L,R,0.487,0.221,0.359,POWER [XBH SURGE],1.76,0.5237,0.2574,40.9,⚾ Baseline TB Range,40
682829,Elly De La Cruz,1,Cincinnati Reds,Eduardo Rodriguez,L,S,0.467,0.208,0.392,GAP [2B/3B EDGE],1.74,0.5183,0.2527,39.1,⚾ Baseline TB Range,41
663616,Trevor Larnach,7,Minnesota Twins,Randy Vásquez,R,L,0.422,0.154,0.506,BALANCED SLUGGER,1.72,0.5125,0.2477,37.2,⚾ Baseline TB Range,42
518692,Freddie Freeman,2,Los Angeles Dodgers,Bubba Chandler,R,L,0.468,0.165,0.41,BALANCED SLUGGER,1.72,0.5117,0.247,36.9,⚾ Baseline TB Range,43
