player_id,player_name,order,team,opp_pitcher,true_ab,blended_slg,bb_pct,p_slg_allowed,expected_tb,score,target_call,rank
650490,Yandy Díaz,1,Tampa Bay Rays,Shane Baz,4.27,0.494,5.1,0.405,2.08,99.0,💎 TB LOCK: Elite SLG & AB Volume,1
695491,Joshua Báez,5,St. Louis Cardinals,Cristopher Sánchez,3.89,0.531,5.1,0.405,2.04,99.0,💎 TB LOCK: Elite SLG & AB Volume,2
665487,Fernando Tatis Jr.,2,San Diego Padres,Bailey Ober,4.27,0.525,5.1,0.405,2.21,99.0,💎 TB LOCK: Elite SLG & AB Volume,3
656941,Kyle Schwarber,1,Philadelphia Phillies,Kyle Leahy,4.27,0.528,5.1,0.405,2.23,99.0,💎 TB LOCK: Elite SLG & AB Volume,4
808959,Munetaka Murakami,2,Chicago White Sox,Nolan McLean,4.27,0.49,5.1,0.405,2.07,99.0,💎 TB LOCK: Elite SLG & AB Volume,5
680664,Eduardo Valencia,4,Detroit Tigers,Daniel Lynch IV,3.89,0.606,5.1,0.405,2.33,99.0,💎 TB LOCK: Elite SLG & AB Volume,6
678246,Miguel Vargas,3,Chicago White Sox,Nolan McLean,4.27,0.52,5.1,0.405,2.19,99.0,💎 TB LOCK: Elite SLG & AB Volume,7
701807,Carson Benge,3,New York Mets,Sean Newcomb,4.27,0.479,5.1,0.405,2.02,99.0,💎 TB LOCK: Elite SLG & AB Volume,8
691023,Jordan Walker,3,St. Louis Cardinals,Cristopher Sánchez,4.27,0.536,5.1,0.405,2.26,99.0,💎 TB LOCK: Elite SLG & AB Volume,9
624413,Pete Alonso,2,Baltimore Orioles,Nick Martinez,4.27,0.627,5.1,0.405,2.64,99.0,💎 TB LOCK: Elite SLG & AB Volume,10
676551,Brewer Hicklen,2,Atlanta Braves,Shane Drohan,4.27,0.495,5.1,0.405,2.09,99.0,💎 TB LOCK: Elite SLG & AB Volume,11
670541,Yordan Alvarez,2,Houston Astros,Brady Basso,4.27,0.486,5.1,0.405,2.05,99.0,💎 TB LOCK: Elite SLG & AB Volume,12
694673,Abimelec Ortiz,2,Washington Nationals,Janson Junk,4.27,0.507,5.1,0.405,2.14,99.0,💎 TB LOCK: Elite SLG & AB Volume,13
666176,Jo Adell,3,Cleveland Guardians,Tomoyuki Sugano,4.27,0.497,5.1,0.405,2.1,99.0,💎 TB LOCK: Elite SLG & AB Volume,14
672386,Alejandro Kirk,3,Toronto Blue Jays,Carlos Rodón,4.27,0.488,5.1,0.405,2.06,99.0,💎 TB LOCK: Elite SLG & AB Volume,15
608324,Alex Bregman,1,Chicago Cubs,Bryce Miller,4.27,0.554,5.1,0.405,2.34,99.0,💎 TB LOCK: Elite SLG & AB Volume,16
663662,Daz Cameron,7,Toronto Blue Jays,Carlos Rodón,3.42,0.584,5.1,0.405,1.97,98.6,💎 TB LOCK: Elite SLG & AB Volume,17
575929,Willson Contreras,4,Boston Red Sox,Matt Wilkinson,3.89,0.511,5.1,0.405,1.96,98.2,💎 TB LOCK: Elite SLG & AB Volume,18
664040,Brandon Lowe,2,Pittsburgh Pirates,Blake Snell,4.27,0.465,5.1,0.405,1.96,98.1,💎 TB LOCK: Elite SLG & AB Volume,19
547180,Bryce Harper,3,Philadelphia Phillies,Kyle Leahy,4.27,0.463,5.1,0.405,1.95,97.7,💎 TB LOCK: Elite SLG & AB Volume,20
664954,Brett Sullivan,2,Colorado Rockies,Foster Griffin,4.27,0.463,5.1,0.405,1.95,97.7,💎 TB LOCK: Elite SLG & AB Volume,21
672515,Gabriel Moreno,2,Arizona Diamondbacks,Andrew Abbott,4.27,0.462,5.1,0.405,1.95,97.5,💎 TB LOCK: Elite SLG & AB Volume,22
663757,Trent Grisham,1,New York Yankees,José Soriano,4.27,0.456,5.1,0.405,1.93,96.3,💎 TB LOCK: Elite SLG & AB Volume,23
673357,Luis Robert Jr.,4,New York Mets,Sean Newcomb,3.89,0.5,5.1,0.405,1.92,96.1,💎 TB LOCK: Elite SLG & AB Volume,24
701678,Hao-Yu Lee,2,Detroit Tigers,Daniel Lynch IV,4.27,0.453,5.1,0.405,1.91,95.5,💎 TB LOCK: Elite SLG & AB Volume,25
682998,Corbin Carroll,1,Arizona Diamondbacks,Andrew Abbott,4.27,0.451,5.1,0.405,1.9,95.1,💎 TB LOCK: Elite SLG & AB Volume,26
691406,Junior Caminero,3,Tampa Bay Rays,Shane Baz,4.27,0.446,5.1,0.405,1.88,94.2,💎 TB LOCK: Elite SLG & AB Volume,27
666182,Bo Bichette,2,New York Mets,Sean Newcomb,4.27,0.446,5.1,0.405,1.88,94.0,💎 TB LOCK: Elite SLG & AB Volume,28
677800,Wilyer Abreu,3,Boston Red Sox,Matt Wilkinson,4.27,0.444,5.1,0.405,1.87,93.7,💎 TB LOCK: Elite SLG & AB Volume,29
676475,Alec Burleson,4,St. Louis Cardinals,Cristopher Sánchez,3.89,0.486,5.1,0.405,1.87,93.3,💎 TB LOCK: Elite SLG & AB Volume,30
663330,Jahmai Jones,1,Boston Red Sox,Matt Wilkinson,4.27,0.442,5.1,0.405,1.86,93.2,💎 TB LOCK: Elite SLG & AB Volume,31
608369,Corey Seager,3,Texas Rangers,Yusei Kikuchi,4.27,0.439,5.1,0.405,1.85,92.6,💎 TB LOCK: Elite SLG & AB Volume,32
700250,Ben Rice,2,New York Yankees,José Soriano,4.27,0.439,5.1,0.405,1.85,92.6,💎 TB LOCK: Elite SLG & AB Volume,33
668800,Andrew Knizner,7,San Francisco Giants,Jake Bennett,3.42,0.545,5.1,0.405,1.84,92.0,💎 TB LOCK: Elite SLG & AB Volume,34
646240,Rafael Devers,2,San Francisco Giants,Jake Bennett,4.27,0.435,5.1,0.405,1.84,91.8,💎 TB LOCK: Elite SLG & AB Volume,35
686797,Brooks Lee,3,Minnesota Twins,Walker Buehler,4.27,0.432,5.1,0.405,1.82,91.2,💎 TB LOCK: Elite SLG & AB Volume,36
620443,Luis Torrens,9,New York Mets,Sean Newcomb,3.42,0.539,5.1,0.405,1.82,91.0,💎 TB LOCK: Elite SLG & AB Volume,37
665052,Griffin Conine,8,Miami Marlins,Jackson Kent,3.42,0.536,5.1,0.405,1.81,90.4,💎 TB LOCK: Elite SLG & AB Volume,38
543510,James McCann,5,Arizona Diamondbacks,Andrew Abbott,3.89,0.47,5.1,0.405,1.81,90.3,💎 TB LOCK: Elite SLG & AB Volume,39
571970,Max Muncy,8,Los Angeles Dodgers,Lake Bachar,3.42,0.535,5.1,0.405,1.81,90.3,💎 TB LOCK: Elite SLG & AB Volume,40
642715,Willy Adames,3,San Francisco Giants,Jake Bennett,4.27,0.425,5.1,0.405,1.79,89.6,💎 TB LOCK: Elite SLG & AB Volume,41
680869,Zack Gelof,3,Athletics,Cristian Javier,4.27,0.42,5.1,0.405,1.77,88.5,💎 TB LOCK: Elite SLG & AB Volume,42
800050,Chase DeLauter,2,Cleveland Guardians,Tomoyuki Sugano,4.27,0.417,5.1,0.405,1.76,88.0,💎 TB LOCK: Elite SLG & AB Volume,43
656577,Alex Jackson,2,Minnesota Twins,Walker Buehler,4.27,0.417,5.1,0.405,1.76,87.9,💎 TB LOCK: Elite SLG & AB Volume,44
689414,Liam Hicks,4,Tampa Bay Rays,Shane Baz,3.89,0.455,5.1,0.405,1.75,87.4,💎 TB LOCK: Elite SLG & AB Volume,45
553993,Eugenio Suárez,3,Cincinnati Reds,Mitch Bratt,4.27,0.414,5.1,0.405,1.75,87.3,💎 TB LOCK: Elite SLG & AB Volume,46
671277,Luis García Jr.,3,New York Yankees,José Soriano,4.27,0.413,5.1,0.405,1.74,87.1,💎 TB LOCK: Elite SLG & AB Volume,47
687637,Dylan Beavers,6,Baltimore Orioles,Nick Martinez,3.89,0.452,5.1,0.405,1.74,86.9,💎 TB LOCK: Elite SLG & AB Volume,48
670623,Isaac Paredes,3,Houston Astros,Brady Basso,4.27,0.412,5.1,0.405,1.74,86.8,💎 TB LOCK: Elite SLG & AB Volume,49
687263,Zach Neto,1,Los Angeles Angels,Cal Quantrill,4.27,0.41,5.1,0.405,1.73,86.6,💎 TB LOCK: Elite SLG & AB Volume,50
691594,Javier Sanoja,6,Miami Marlins,Jackson Kent,3.89,0.45,5.1,0.405,1.73,86.4,💎 TB LOCK: Elite SLG & AB Volume,51
596019,Francisco Lindor,1,New York Mets,Sean Newcomb,4.27,0.409,5.1,0.405,1.73,86.3,💎 TB LOCK: Elite SLG & AB Volume,52
681715,Heriberto Hernández,3,Miami Marlins,Jackson Kent,4.27,0.409,5.1,0.405,1.73,86.3,💎 TB LOCK: Elite SLG & AB Volume,53
605137,Josh Bell,5,Minnesota Twins,Walker Buehler,3.89,0.448,5.1,0.405,1.72,86.2,💎 TB LOCK: Elite SLG & AB Volume,54
664983,Jake McCarthy,6,Colorado Rockies,Foster Griffin,3.89,0.448,5.1,0.405,1.72,86.2,💎 TB LOCK: Elite SLG & AB Volume,55
663993,Nathaniel Lowe,4,Cleveland Guardians,Tomoyuki Sugano,3.89,0.447,5.1,0.405,1.72,86.0,💎 TB LOCK: Elite SLG & AB Volume,56
678882,Ceddanne Rafaela,2,Boston Red Sox,Matt Wilkinson,4.27,0.404,5.1,0.405,1.7,85.2,💎 TB LOCK: Elite SLG & AB Volume,57
701785,Kaelen Culpepper,6,Minnesota Twins,Walker Buehler,3.89,0.443,5.1,0.405,1.7,85.1,💎 TB LOCK: Elite SLG & AB Volume,58
805808,Kevin McGonigle,3,Detroit Tigers,Daniel Lynch IV,4.27,0.403,5.1,0.405,1.7,85.1,💎 TB LOCK: Elite SLG & AB Volume,59
683734,Andrew Vaughn,1,Milwaukee Brewers,Tyler Mahle,4.27,0.403,5.1,0.405,1.7,85.1,💎 TB LOCK: Elite SLG & AB Volume,60
545361,Mike Trout,2,Los Angeles Angels,Cal Quantrill,4.27,0.398,5.1,0.405,1.68,83.9,💎 TB LOCK: Elite SLG & AB Volume,61
701162,Ben Malgeri,7,Detroit Tigers,Daniel Lynch IV,3.42,0.497,5.1,0.405,1.68,83.8,💎 TB LOCK: Elite SLG & AB Volume,62
701538,Jackson Merrill,5,San Diego Padres,Bailey Ober,3.89,0.433,5.1,0.405,1.66,83.2,💎 TB LOCK: Elite SLG & AB Volume,63
